1902-05-28	Leo XIII	L13MIRAE.HTM	MIRAE CARITATIS (On the Holy Eucharist)
1880-12-03	Leo XIII	L13MIS.HTM	SANCTA DEI CIVITAS (On Mission Societies)
1890-10-15	Leo XIII	L13MS1.HTM	DALL'ALTO DELL'APOSTOLICO SEGGIO (On Freemasonry in Italy)
1892-12-08	Leo XIII	L13MS3.HTM	CUSTODI DI QUELLA FEDE (On Freemasonry)
1892-12-08	Leo XIII	L13MS4.HTM	INIMICA VIS (On Freemasonry)
1902-12-24	Leo XIII	L13MULTA.HTM	DUM MULTA (On Marriage Legislation)
1893-06-24	Leo XIII	L13NAT.HTM	AD EXTREMAS (On Seminaries For Native Clergy)
1899-09-18	Leo XIII	L13PATER.HTM	PATERNAE (On the Education of Clergy)
1895-07-10	Leo XIII	L13PERMO.HTM	PERMOTI NOS (On Social Conditions in Belgium)
1886-09-14	Leo XIII	L13POR.HTM	PERGRATA (On the Church in Portugal)
1893-11-18	Leo XIII	L13PROVI.HTM	PROVIDENTISSIMUS DEUS (On the Study of Holy Scripture)
1898-08-16	Leo XIII	L13QUAMR.HTM	QUAM RELIGIOSA (On Civil Marriage Law)
1902-11-22	Leo XIII	L13QUNOS.HTM	QUAE AD NOS (On the Church in Bohemia and Moravia)
1902-04-30	Leo XIII	L13QUOVO.HTM	QUOD VOTIS (On the Proposed Catholic University)
1898-12-25	Leo XIII	L13QUUMD.HTM	QUUM DIUTURNUM (On the Latin American Bishops' Plenary Council)
1891-06-25	Leo XIII	L13RELUN.HTM	PASTORALIS (On Religious Union)
1901-08-20	Leo XIII	L13REPUT.HTM	REPUTANTIUBUS (On the Language Question in Bohemia)
1891-05-15	Leo XIII	L13RERUM.HTM	RERUM NOVARUM (On Capital and Labor)
1888-12-25	Leo XIII	L13RGT.HTM	EXEUNTE IAM ANNO (On the Right Ordering of Christian Life)
1891-09-22	Leo XIII	L13RO1.HTM	OCTOBRI MENSE (On the Rosary)
1892-09-08	Leo XIII	L13RO2.HTM	MAGNAE DEI MATRIS (On the Rosary)
1893-09-08	Leo XIII	L13RO3.HTM	LAETITIAE SANCTAE (Commending Devotion to the Rosary)
1884-08-30	Leo XIII	L13RO4.HTM	SUPERIORE ANNO (On the Recitation of the Rosary)
1894-09-08	Leo XIII	L13RO5.HTM	IUCUNDA SEMPER EXPECTATIONE (On the Rosary)
1887-09-20	Leo XIII	L13ROS.HTM	VI E BEN NOTO (On the Rosary and Public Life)
