BookName	BookNameLong	ChapCount	CanonType	ProtocanonSeq	CatholicCanonSeq	BookName_Protocanon	BookName_BG-VULGATE	ChapCount_BG-VULGATE	BookName_BG-RSV	BookName_BG-NRSVA	BookName_BG-SBLGNT	BookName_BG-DHH	BookName_BG-WLC	BookName_NA-Septuagint	ChapCount_NA-VULGATE	BlankColumnRequiredForRICKSRepo
2 Thessalonians	Second Epistle of St Paul to the Thessalonians	3	NT	53	60	2 Thessalonians	Ad Thessalonicenses II	3	2 Thessalonians	2 Thessalonians	ΠΡΟΣ ΘΕΣΣΑΛΟΝΙΚΕΙΣ Β΄	2 Tesalonicenses		2 Thessalonians	3	
1 Timothy	First Epistle of St Paul to St Timothy	6	NT	54	61	1 Timothy	Ad Timotheum I	6	1 Timothy	1 Timothy	ΠΡΟΣ ΤΙΜΟΘΕΟΝ Α΄	1 Timoteo		1 Timothy	6	
2 Timothy	Second Epistle of St Paul to St Timothy	4	NT	55	62	2 Timothy	Ad Timotheum II	4	2 Timothy	2 Timothy	ΠΡΟΣ ΤΙΜΟΘΕΟΝ Β΄	2 Timoteo		2 Timothy	4	
Titus	Epistle of St Paul to St Titus	3	NT	56	63	Titus	Ad Titum	3	Titus	Titus	ΠΡΟΣ ΤΙΤΟΝ	Tito		Titus	3	
Philemon	Epistle of St Paul to St Philemon	1	NT	57	64	Philemon	Ad Philemonem	1	Philemon	Philemon	ΠΡΟΣ ΦΙΛΗΜΟΝΑ	Filemón		Philemon	1	
Hebrews	Epistle to the Hebrews	13	NT	58	65	Hebrews	Ad Hebraeos	13	Hebrews	Hebrews	ΠΡΟΣ ΕΒΡΑΙΟΥΣ	Hebreos		Hebrews	13	
James	Epistle of St James	5	NT	59	66	James	Epistula Iacobi	5	James	James	ΙΑΚΩΒΟΥ	Santiago		James	5	
1 Peter	First Epistle of St Peter	5	NT	60	67	1 Peter	Epistula Petri I	5	1 Peter	1 Peter	ΠΕΤΡΟΥ Α΄	1 Pedro		1 Peter	5	
2 Peter	Second Epistle of St Peter	3	NT	61	68	2 Peter	Epistula Petri II	3	2 Peter	2 Peter	ΠΕΤΡΟΥ Β΄	2 Pedro		2 Peter	3	
1 John	First Epistle of St John	5	NT	62	69	1 John	Epistula Ioannis I	5	1 John	1 John	ΙΩΑΝΝΟΥ Α΄	1 Juan		1 John	5	
2 John	Second Epistle of St John	1	NT	63	70	2 John	Epistula Ioannis II	1	2 John	2 John	ΙΩΑΝΝΟΥ Β΄	2 Juan		2 John	1	
3 John	Third Epistle of St John	1	NT	64	71	3 John	Epistula Ioannis III	1	3 John	3 John	ΙΩΑΝΝΟΥ Γ΄	3 Juan		3 John	1	
Jude	Epistle of St Jude	1	NT	65	72	Jude	Epistula Iudae	1	Jude	Jude	ΙΟΥΔΑ	Judas		Jude	1	
Revelation	Book of Revelation	22	NT	66	73	Revelation	Apocalypsis Ioannis	22	Revelation	Revelation	ΑΠΟΚΑΛΥΨΙΣ ΙΩΑΝΝΟΥ	Apocalipsis		Revelation	22	
Tobit	Book of Tobit	14	CC	0	17		Tobiae	14	Tobit	Tobit		Tobit		Tobit	14	
Judith	Book of Judith	16	CC	0	18		Judith	16	Judith	Judith		Judit		Judith	16	
1 Maccabees	First Book of the Maccabees	16	CC	0	20		I Machabaeorum	16	1 Maccabees	1 Maccabees		1 Macabeos		1 Maccabees	16	
2 Maccabees	Second Book of the Maccabees	15	CC	0	21		II Machabaeorum	15	2 Maccabees	2 Maccabees		2 Macabeos		2 Maccabees	15	
Wisdom	Wisdom of Solomon	19	CC	0	27		Sapientia	19	Wisdom	Wisdom of Solomon		Sabiduría		Wisdom of Solomon	19	
Sirach	Wisdom of Sirach	51	CC	0	28		Ecclesiasticus	52	Sirach	Sirach		Eclesiástico		Wisdom of Sirach	52	
Baruch	Book of Baruch	6	CC	0	32		Baruch	6	Baruch	Baruch		Baruc		Baruch	6	
Song of the Three Young Men	Song of the Three Young Men	1	OC	0	0			0	Song of the Three Young Men	Song of the Three Young Men					0	
Greek Esther	Greek Book of Esther	10	OC	0	0			0	Greek Esther	Greek Esther					0	
3 Maccabees	Third Book of the Maccabees	7	OC	0	0			0	3 Maccabees	3 Maccabees					0	
4 Maccabees	Fourth Book of the Maccabees	18	OC	0	0			0	4 Maccabees	4 Maccabees					0	
1 Esdras	First Book of Ezra	9	OC	0	0			0	1 Esdras	1 Esdras					0	
2 Esdras	Second Book of Ezra	16	OC	0	0			0	2 Esdras	2 Esdras					0	
Letter of Jeremiah	Letter of Jeremiah	1	OC	0	0			0	Letter of Jeremiah	Letter of Jeremiah					0	
Prayer of Azariah	Prayer of Azariah	1	OC	0	0			0		Prayer of Azariah					0	
Prayer of Manasseh	Prayer of Manasseh	1	OC	0	0			0	Prayer of Manasseh	Prayer of Manasseh					0	
Susanna	Book of Susanna	1	OC	0	0			0	Susanna	Susanna					0	
Bel and the Dragon	Bel and the Dragon	1	OC	0	0			0	Bel and the Dragon	Bel and the Dragon					0	
Psalm 151	Psalm 151	1	OC	0	0			0	Psalm 151	Psalm 151					0	
Daniel-C	Canticle of the Prophet Daniel	0		0	0			0							0	
Isaiah-C	Canticle of the Prophet Isaiah	0		0	0			0							0	
Luke-C	Canticle of St Luke the Evangelist	0		0	0			0							0	
