Seq	PropersID	Year	Reference	Brief Description of Reading
610	22nd Sunday in Ordinary Time	B	Ps 15:2-3a, 3b-4a, 4b-5	“The one who does justice will live in the presence of the Lord.”
611	3rd Sunday of Easter	A	Ps 16:1-2a+5, 7-8, 9-10, 11	“Lord, you will show us the path of life.” or “Alleluia.”
612	13th Sunday in Ordinary Time	C	Ps 16:1-2a+5, 7-8, 9-10, 11	“You are my inheritance, O Lord.”
613	Octave of Easter – Monday		Ps 16:1-2a+5, 7-8, 9-10, 11	“You are my inheritance, O Lord.” or “Alleluia.”
614	Easter Vigil (resp. 2)	ABC	Ps 16:5+8, 9-10, 11	“You are my inheritance, O Lord.”
615	33rd Sunday in Ordinary Time	B	Ps 16:5+8, 9-10, 11	“You are my inheritance, O Lord!”
616	32nd Sunday in Ordinary Time	C	Ps 17:1, 5-6, 8+15	“Lord, when your glory appears, my joy will be full.”
617	30th Sunday in Ordinary Time	A	Ps 18:2-3a, 3b-4, 47+51	“I love you, Lord, my strength.”
618	31st Sunday in Ordinary Time	B	Ps 18:2-3a, 3b-4, 47+51	“I love you, Lord, my strength.”
619	June 29: Sts. Peter and Paul, Vigil		Ps 19:2-3, 4-5	“Their message goes out through all the earth.”
620	3rd Sunday of Lent	B	Ps 19:8, 9, 10, 11	“Lord, you have the words of everlasting life.” (John 6:68c)
621	Easter Vigil (resp. 6)	ABC	Ps 19:8, 9, 10, 11	“Lord, you have the words of everlasting life.” (John 6:68c)
622	15th Sunday in Ordinary Time (opt. 2)	C	Ps 19:8, 9, 10, 11	“Your words, Lord, are Spirit and life.”
623	3rd Sunday in Ordinary Time	C	Ps 19:8, 9, 10, 15	“Your words, Lord, are spirit and life.” (John 6:63c)
624	26th Sunday in Ordinary Time	B	Ps 19:8, 10, 12-13, 14	“The precepts of the Lord give joy to the heart.”
625	Palm Sunday Mass	ABC	Ps 22:8-9, 17-18, 19-20, 23-24	“My God, my God, why have you abandoned me?.”
626	5th Sunday of Easter	B	Ps 22:26-27, 28+30, 31-32	“I will praise you, Lord, in the assembly of your people.” or “Alleluia.”
627	34th Sunday in Ord. Time: Christ the King	A	Ps 23:1-2a, 2b-3, 5, 6	“The Lord is my shepherd; there is nothing I shall want.”
628	4th Sunday of Lent	A	Ps 23:1-3a, 3b-4, 5, 6	“The Lord is my shepherd; there is nothing I shall want.”
629	4th Sunday of Easter	A	Ps 23:1-3a, 3b-4, 5, 6	“The Lord is my shepherd; there is nothing I shall want.” or “Alleluia.”
630	16th Sunday in Ordinary Time	B	Ps 23:1-3a, 3b-4, 5, 6	“The Lord is my shepherd; there is nothing I shall want.”
631	28th Sunday in Ordinary Time	A	Ps 23:1-3a, 3b-4, 5, 6	“I shall live in the house of the Lord all the days of my life.”
632	Friday after 2nd Sun after Pentecost: Sacred Heart	C	Ps 23:1-3a, 3b-4, 5, 6	“The Lord is my shepherd; there is nothing I shall want.”
633	Nov. 2: Commemoration of All Souls		Ps 23:1-3a, 3b-4, 5, 6	“The Lord is my shepherd; there is nothing I shall want.” or “Though I walk in the valley of darkness, I fear no evil, for you are with me.”
634	4th Sunday of Advent	A	Ps 24:1-2, 3-4, 5-6	“Let the Lord enter; he is the king of glory.”
635	Nov 1: All Saints		Ps 24:1bc-2, 3-4ab, 5-6	“Lord, this is the people that longs to see your face.”
636	Feb 2: Presentation of the Lord		Ps 24:7, 8, 9, 10	“Who is this king of glory? It is the Lord!”
637	1st Sunday of Lent	B	Ps 25:4-5, 6-7, 8-9	“Your ways, O Lord, are love and truth to those who keep your covenant.”
638	3rd Sunday in Ordinary Time	B	Ps 25:4-5, 6-7, 8-9	“Teach me your ways, O Lord.”
639	26th Sunday in Ordinary Time	A	Ps 25:4-5, 6-7, 8-9	“Remember your mercies, O Lord.”
640	1st Sunday of Advent	C	Ps 25:4-5, 8-9, 10+14	“To you, O Lord, I lift my soul.”
641	Nov. 2: Commemoration of All Souls		Ps 25:6+7b, 17-18, 20-21	“To you, O Lord, I lift my soul.” or "No one who waits for you, O Lord, will ever be put to shame."
642	7th Sunday of Easter	A	Ps 27:1, 4, 7-8	“I believe that I shall see the good things of the Lord in the land of the living.” or “Alleluia.”
643	Nov. 2: Commemoration of All Souls		Ps 27:1, 4, 7+8b+9a, 13-14	“The Lord is my light and my salvation.” or “I believe that I shall see the good things of the Lord in the land of the living.”
644	3rd Sunday in Ordinary Time	A	Ps 27:1, 4, 13-14	“The Lord is my light and my salvation.”
645	2nd Sunday of Lent	C	Ps 27:1, 7-8a, 8b-9, 13-14	“The Lord is my light and my salvation.”
646	Sunday after Epiphany: Baptism of the Lord	ABC	Ps 29:1-2, 3-4, 3b+9b-10	“The Lord will bless his people with peace.”
647	Easter Vigil (resp. 4)	ABC	Ps 30:2+4, 5-6, 11-12a+13b	“I will praise you, Lord, for you have rescued me.”
648	3rd Sunday of Easter	C	Ps 30:2+4, 5-6, 11-12a+13b	“I will praise you, Lord, for you have rescued me.” or “Alleluia.”
649	10th Sunday in Ordinary Time	C	Ps 30:2+4, 5-6, 11-12a+13b	“I will praise you, Lord, for you have rescued me.”
650	13th Sunday in Ordinary Time	B	Ps 30:2+4, 5-6, 11-12a+13b	“I will praise you, Lord, for you have rescued me.”
651	9th Sunday in Ordinary Time	A	Ps 31:2-3a, 3b-4, 17+25	“Lord, be my rock of safety.”
652	Good Friday of the Lord’s Passion	ABC	Ps 31:2+6, 12-13, 15-16, 17+25	“Father, into your hands I commend my spirit.” (Luke 23:46)
653	11th Sunday in Ordinary Time	C	Ps 32:1-2, 5, 7, 11	“Lord, forgive the wrong I have done.”
654	6th Sunday in Ordinary Time	B	Ps 32:1-2, 5, 11	“I turn to you, Lord, in time of trouble, and you fill me with the joy of salvation.”
655	5th Sunday of Easter	A	Ps 33:1-2, 4-5, 18-19	“Lord, let your mercy be on us, as we place our trust in you.” or “Alleluia.”
656	19th Sunday in Ordinary Time	C	Ps 33:1+12, 18-19, 20-22	“Blessed the people the Lord has chosen to be his own.”
657	Easter Vigil (resp. 1b)	ABC	Ps 33:4-5, 6-7, 12-13, 20-22	“The earth is full of the goodness of the Lord.”
658	Sunday after Pentecost: Holy Trinity	B	Ps 33:4-5, 6+9, 18-19, 20+22	“Blessed the people the Lord has chosen to be his own.”
659	2nd Sunday of Lent	A	Ps 33:4-5, 18-19, 20+22	“Lord, let your mercy be on us, as we place our trust in you.”
660	29th Sunday in Ordinary Time	B	Ps 33:4-5, 18-19, 20+22	“Lord, let your mercy be on us, as we place our trust in you.”
661	Octave of Easter – Tuesday		Ps 33:4-5, 18-19, 20+22	“The earth is full of the goodness of the Lord.” or “Alleluia.”
662	4th Sunday of Lent	C	Ps 34:2-3, 4-5, 6-7	“Taste and see the goodness of the Lord.”
663	20th Sunday in Ordinary Time	B	Ps 34:2-3, 4-5, 6-7	“Taste and see the goodness of the Lord.”
664	19th Sunday in Ordinary Time	B	Ps 34:2-3, 4-5, 6-7, 8-9	“Taste and see the goodness of the Lord.”
665	June 29: Sts. Peter and Paul, Day		Ps 34:2-3, 4-5, 6-7, 8-9	“The angel of the Lord will rescue those who fear him.”
666	21st Sunday in Ordinary Time	B	Ps 34:2-3, 16-17, 18-19, 20-21	“Taste and see the goodness of the Lord.”
667	30th Sunday in Ordinary Time	C	Ps 34:2-3, 17-18, 19+23	“The Lord hears the cry of the poor.”
668	20th Sunday in Ordinary Time	C	Ps 40:2, 3, 4, 18	“Lord, come to my aid!”
669	2nd Sunday in Ordinary Time	A	Ps 40:2+4, 7-8a, 8b-9, 10	“Here I am, Lord; I come to do your will.”
670	2nd Sunday in Ordinary Time	B	Ps 40:2+4, 7-8a, 8b-9, 10	“Here I am, Lord; I come to do your will.”
671	March 25: Annunciation of the Lord		Ps 40:7-8a, 8b-9, 10, 11	“Here I am, Lord; I come to do your will.”
672	7th Sunday in Ordinary Time	B	Ps 41:2-3, 4-5, 13-14	“Lord, heal my soul, for I have sinned against you.”
673	Easter Vigil (resp. 7a)	ABC	Ps 42:3, 5; 43:3, 4	“Like a deer that longs for running streams, my soul longs for you, my God.”
674	Aug 15: Assumption of the BVMary, Day		Ps 45:10, 11, 12, 16	“The queen stands at your right hand, arrayed in gold.”
675	Nov 9: Dedication of the Lateran Basilica in Rome		Ps 46:2-3, 5-6, 8-9	“The waters of the river gladden the city of God, the holy dwelling of the Most High.”
676	Ascension of the Lord	ABC	Ps 47:2-3, 6-7, 8-9	“God mounts his throne to shouts of joy: a blare of trumpets for the Lord.” or “Alleluia.”
677	10th Sunday in Ordinary Time	A	Ps 50:1+8, 12-13, 14-15	“To the upright I will show the saving power of God.”
678	5th Sunday of Lent	B	Ps 51:3-4, 12-13, 14-15	“Create a clean heart in me, O God.”
679	24th Sunday in Ordinary Time	C	Ps 51:3-4, 12-13, 17+19	“I will rise and go to my father.” (Luke 15:18)
680	1st Sunday of Lent	A	Ps 51:3-4, 5-6, 12-13, 14+17	“Be merciful, O Lord, for we have sinned.”
681	Easter Vigil (resp. 7b)	ABC	Ps 51:12-13, 14-15, 18-19	“Create a clean heart in me, O God.”
682	25th Sunday in Ordinary Time	B	Ps 54:3-4, 5, 6-8	“The Lord upholds my life.”
683	32nd Sunday in Ordinary Time	A	Ps 63:2, 3-4, 5-6, 7-8	“My soul is thirsting for you, O Lord my God.”
684	12th Sunday in Ordinary Time	C	Ps 63:2, 3-4, 5-6, 8-9	“My soul is thirsting for you, O Lord my God.”
685	22nd Sunday in Ordinary Time	A	Ps 63:2, 3-4, 5-6, 8-9	“My soul is thirsting for you, O Lord my God.”
686	8th Sunday in Ordinary Time	A	Ps 62:2-3, 6-7, 8-9	“Rest in God alone, my soul.”
687	15th Sunday in Ordinary Time	A	Ps 65:10, 11, 12-13, 14	“The seed that falls on good ground will yield a fruitful harvest.” (Luke 8:8)
688	6th Sunday of Easter	A	Ps 66:1-3, 4-5, 6-7, 16+20	“Let all the earth cry out to God with joy.” or “Alleluia.”
689	14th Sunday in Ordinary Time	C	Ps 66:1-3, 4-5, 6-7, 16+20	“Let all the earth cry out to God with joy.”
690	Jan. 1: Mary, Mother of God	ABC	Ps 67:2-3, 5, 6+8	“May God bless us in his mercy.”
691	6th Sunday of Easter	C	Ps 67:2-3, 5, 6+8	“O God, let all the nations praise you!” or “Alleluia.”
692	20th Sunday in Ordinary Time	A	Ps 67:2-3, 5, 6+8	“O God, let all the nations praise you!”
693	22nd Sunday in Ordinary Time	C	Ps 68:4-5, 6-7, 10-11	“God, in your goodness, you have made a home for the poor.”
694	15th Sunday in Ordinary Time (opt. 1)	C	Ps 69:14+17, 30-31, 33-34, 36a+37	“Turn to the Lord in your need, and you will live.”
695	12th Sunday in Ordinary Time	A	Ps 69:8-10, 14+17, 33-35	“Lord, in your great love, answer me.”
696	4th Sunday in Ordinary Time	C	Ps 71:1-2, 3-4, 5-6, 15+17	“I will sing of your salvation.”
697	June 24: Nativity of St. John the Baptist, Vigil		Ps 71:1-2, 3-4a, 5-6ab, 15ab+17	“Since my mother’s womb, you have been my strength.”
698	The Epiphany of the Lord	ABC	Ps 72:1-2, 7-8, 10-11, 12-13	“Lord, every nation on earth will adore you.”
699	2nd Sunday of Advent	A	Ps 72:1-2, 7-8, 12-13, 17	“Justice shall flourish in his time, and fullness of peace forever.”
700	Sept 14: Exaltation of the Holy Cross		Ps 78:1bc-2, 34-35, 36-37, 38	“Do not forget the works of the Lord!”
701	18th Sunday in Ordinary Time	B	Ps 78:3-4, 23-24, 25+54	“The Lord gave them bread from heaven.”
702	1st Sunday of Advent	B	Ps 80:2-3, 15-16, 18-19	“Lord, make us turn to you; let us see your face and we shall be saved.”
703	4th Sunday of Advent	C	Ps 80:2-3, 15-16, 18-19	“Lord, make us turn to you; let us see your face and we shall be saved.”
704	27th Sunday in Ordinary Time	A	Ps 80:9+12, 13-14, 15-16, 19-20	“The vineyard of the Lord is the house of Israel.” (Isa 5:7a)
705	9th Sunday in Ordinary Time	B	Ps 81:3-4, 5-6, 7-8, 10-11	“Sing with joy to God, our help.”
706	Sunday in Octave of Christmas: Holy Family (opt. C)	C	Ps 84:2-3, 5-6, 9-10	“Blessed are they who dwell in your house, O Lord.”
707	2nd Sunday of Advent	B	Ps 85:9ab+10, 11-12, 13-14	“Lord, let us see your kindness, and grant us your salvation.”
708	15th Sunday in Ordinary Time	B	Ps 85:9ab+10, 11-12, 13-14	“Lord, let us see your kindness, and grant us your salvation.”
709	19th Sunday in Ordinary Time	A	Ps 85:9ab+10, 11-12, 13-14	“Lord, let us see your kindness, and grant us your salvation.”
710	16th Sunday in Ordinary Time	A	Ps 86:5-6, 9-10, 15-16	“Lord, you are good and forgiving.”
711	4th Sunday of Advent	B	Ps 89:2-3, 4-5, 27+29	“Forever I will sing the goodness of the Lord.”
712	March 19: St. Joseph, husband of the BVMary		Ps 89:2-3, 4-5, 27+29	“The son of David will live forever.”
713	13th Sunday in Ordinary Time	A	Ps 89:2-3, 16-17, 18-19	“Forever I will sing the goodness of the Lord.”
714	Dec. 25: Christmas: Vigil Mass	ABC	Ps 89:4-5, 16-17, 27+29	“Forever I will sing the goodness of the Lord.”
715	Thursday of Holy Week: Chrism Mass		Ps 89:21-22, 25+27	“For ever I will sing the goodness of the Lord.”
716	18th Sunday in Ordinary Time	C	Ps 90:3-4, 5-6, 12-13, 14+17	“If today you hear his voice, harden not your hearts.”
717	23rd Sunday in Ordinary Time	C	Ps 90:3-4, 5-6, 12-13, 14+17	“In every age, O Lord, you have been our refuge.”
718	28th Sunday in Ordinary Time	B	Ps 90:12-13, 14-15, 16-17	“Fill us with your love, O Lord, and we will sing for joy!”
719	1st Sunday of Lent	C	Ps 91:1-2, 10-11, 12-13, 14-15	“Be with me, Lord, when I am in trouble.”
720	8th Sunday in Ordinary Time	C	Ps 92:2-3, 13-14, 15-16	“Lord, it is good to give thanks to you.”
721	11th Sunday in Ordinary Time	B	Ps 92:2-3, 13-14, 15-16	“Lord, it is good to give thanks to you.”
722	34th Sunday in Ord. Time: Christ the King	B	Ps 93:1a, 1b-2, 5	“The Lord is king; he is robed in majesty.”
723	3rd Sunday of Lent	A	Ps 95:1-2, 6-7b, 7c-9	“If today you hear his voice, harden not your hearts.”
724	23rd Sunday in Ordinary Time	A	Ps 95:1-2, 6-7b, 7c-9	“If today you hear his voice, harden not your hearts.”
725	27th Sunday in Ordinary Time	C	Ps 95:1-2, 6-7b, 7c-9	“If today you hear his voice, harden not your hearts.”
726	4th Sunday in Ordinary Time	B	Ps 95:1-2, 6-7b, 7c-9	“If today you hear his voice, harden not your hearts.”
727	2nd Sunday in Ordinary Time	C	Ps 96:1-2a, 2b-3, 7-8, 9-10	“Proclaim his marvelous deeds to all the nations.”
728	Dec. 25: Christmas: Mass at Midnight	ABC	Ps 96:1-2a, 2b-3, 11-12, 13	“Today is born our Savior, Christ the Lord.” (Luke 2:11)
729	29th Sunday in Ordinary Time	A	Ps 96:1+3, 4-5, 7-8, 9-10	“Give the Lord glory and honor.”
730	Aug 6: Transfiguration of the Lord		Ps 97:1-2, 5-6, 9	“The Lord is king, the most high over all the earth.”
731	7th Sunday of Easter	C	Ps 97:1-2, 6-7, 9	“The Lord is king, the most high over all the earth.” or “Alleluia.”
732	Dec. 25: Christmas: Mass at Dawn	ABC	Ps 97:1+6, 11-12	“A light will shine on us this day: the Lord is born for us.”
733	6th Sunday of Easter	B	Ps 98:1, 2-3a, 3b-4	“The Lord has revealed to the nations his saving power.” or “Alleluia.”
734	28th Sunday in Ordinary Time	C	Ps 98:1, 2-3a, 3b-4	“The Lord has revealed to the nations his saving power.”
735	Dec 8: Immaculate Conception of the BVMary		Ps 98:1, 2-3ab, 3cd-4	“Sing to the Lord a new song, for he has done marvelous deeds.”
736	Dec. 25: Christmas: Mass during the Day	ABC	Ps 98:1, 2-3a, 3b-4, 5-6	“All the ends of the earth have seen the saving power of God.”
737	33rd Sunday in Ordinary Time	C	Ps 98:5-6, 7-8, 9	“The Lord comes to rule the earth with justice.”
738	4th Sunday of Easter	C	Ps 100:1-2, 3, 5	“We are his people, the sheep of his flock.” or “Alleluia.”
739	11th Sunday in Ordinary Time	A	Ps 100:1-2, 3, 5	“We are his people: the sheep of his flock.”
740	Friday after 2nd Sun after Pentecost: Sacred Heart	A	Ps 103:1-2, 3-4, 6-7, 8+10	“The Lord’s kindness is everlasting to those who fear him.”
741	3rd Sunday of Lent	C	Ps 103:1-2, 3-4, 6-7, 8+11	“The Lord is kind and merciful.”
742	7th Sunday in Ordinary Time	A	Ps 103:1-2, 3-4, 8+10, 12-13	“The Lord is kind and merciful.”
743	7th Sunday in Ordinary Time	C	Ps 103:1-2, 3-4, 8+10, 12-13	“The Lord is kind and merciful.”
744	8th Sunday in Ordinary Time	B	Ps 103:1-2, 3-4, 8+10, 12-13	“The Lord is kind and merciful.”
745	24th Sunday in Ordinary Time	A	Ps 103:1-2, 3-4, 9-10, 11-12	“The Lord is kind and merciful, slow to anger, and rich in compassion.”
746	7th Sunday of Easter	B	Ps 103:1-2, 11-12, 19-20	“The Lord has set his throne in heaven.” or “Alleluia.”
747	Easter Vigil (resp. 1a)	ABC	Ps 104:1-2, 5-6, 10+12, 13-14, 24+35	“Lord, send out your Spirit, and renew the face of the earth.”
748	Pentecost Sunday: Vigil Mass	ABC	Ps 104:1-2, 24+35, 27-28, 29b-30	“Lord, send out your Spirit, and renew the face of the earth.” or “Alleluia.”
