Seq	PropersID	Year	Reference
978	Aug 6: Feast: Transfiguration of the Lord	1+2	2 Pet 1:16-19
979	Ord. Time, Week 9, Tues	2	2 Pet 3:12-15a, 17-18
980	Dec 27: St. John, Apostle and Evangelist	1+2	1 John 1:1-4
981	Dec 28: Holy Innocents, martyrs	1+2	1 John 1:5—2:2
982	5th Day in Xmas Octave, Dec. 29	1+2	1 John 2:3-11
983	6th Day in Xmas Octave, Dec. 30	1+2	1 John 2:12-17
984	7th Day in Xmas Octave, Dec. 31	1+2	1 John 2:18-21
985	Christmas Weekday: Jan. 2	1+2	1 John 2:22-28
986	Christmas Weekday: Jan. 3	1+2	1 John 2:29—3:6
987	Nov 1: Solemnity: All Saints	1+2	1 John 3:1-3
988	Christmas Weekday: Jan. 4	1+2	1 John 3:7-10
989	Christmas Weekday: Jan. 5	1+2	1 John 3:11-21
990	Christmas Weekday: Jan. 6 (if Epiphany is Jan. 7 or 8)	1+2	1 John 5:5-13
991	Christmas Weekday: Jan. 7 (if Epiphany is Jan. 8)	1+2	1 John 5:14-21
992	Mon after Epiphany, or Jan. 7	1+2	1 John 3:22—4:6
993	Tues after Epiphany, or Jan. 8	1+2	1 John 4:7-10
994	Wed after Epiphany, or Jan. 9	1+2	1 John 4:11-18
995	Thurs after Epiphany, or Jan. 10	1+2	1 John 4:19—5:4
996	Fri after Epiphany, or Jan. 11	1+2	1 John 5:5-13
997	Sat after Epiphany, or Jan. 12	1+2	1 John 5:14-21
998	Ord. Time, Week 32, Fri	2	2 John 4-9
999	Ord. Time, Week 32, Sat	2	3 John 5-8
1000	Ord. Time, Week 8, Sat	2	Jude 17, 20b-25
1001	Ord. Time, Week 33, Mon	2	Rev 1:1-4; 2:1-5
1002	Holy Week, Chrism Mass (2nd Reading)	1+2	Rev 1:5-8
1003	Ord. Time, Week 33, Tues	2	Rev 3:1-6, 14-22
1004	Ord. Time, Week 33, Wed	2	Rev 4:1-11
