ctpNT	Western Highland Chatino NT
ctu76	Chol NT
ctuBl	Chol Tumbala Bible
ctucti	Chol de Tila Bible
cubNT	Cubeo NT
cucNT	Usila Chinantec NT
cug	Chung NT
cui	Cuiba NT
cuk	San Blas Kuna Bible
cuk09	San Blas Kuna NT 2009
cutNT	Teutila NT
cuxNT	Tepeuxila Cuicatec NT
cwe	Kwere NT
cya	Nopala Chatino NT
daaNT	Dangaléat NT
dad	Marik NT
dah	Gwahatike NT
dan1931	Danish Bible 1931
dao	Daai Chin NT
ded	Dedua NT with Psalms
deu1912	German Luther Bible 1912
deu1951	German Schlachter Bible 1951
deuelbbk	German ELBBK Bible
deuelo	German Unrevised Elberfelder Bible
deutkw	German Textbibel
dgc	Casiguran Dumagat Agta NT
dgrDOGNT	Dogrib Bible
dgz	Daga Bible
dhg	Djangu Bible Portions
dhgdol	Warramiri Ḏolttji Selections
dhgduwadha	Dhuwa-Dhaŋu'mi Mark  with  Selections
dhn	Dhanki: परमेश्वरन सत्य वचन The New Testament in the Dhanki language of India, Devanagari script
dif	Dieri NT
dikNT	Southwestern Dinka NT
dji	Djinang Bible Portions
djj	Ndjébbana Bible Portions
djkNT	Eastern Maroon Creole NT
djr	Djambarrpuyngu NT
dne	Ndendeule NT
dnv	Danu NT
dob	Dobu NT
dop	Lokpa Bible
dov	Dombe NT
dso	Desiya NT
dwrENT	Dawro Bible (Ethoipic script)
dwrNT	Dawro NT (Latin script)
dwrl	The Holy Bible in the Dawuro language of Ethiopia, Latin script
dwu	Dhuwal Selections
dwuliv	Liyagawumirr Luke
dww	Dawawa NT
dwy	Dhuwaya Mark  with  Acts 1:8-11
ebk	Eastern Bontok NT
eka	Ekajuk Bible
ekk	Estonian Contemporary NT
ekkpkp	Estonian Bible: Piibel Kõigile
eko	Kote Bible
emi	Mussau-Emira Bible
empNTpo	Northern Emberá NT
ena	Apali NT
eng-Brenton	Brenton English Septuagint
eng-asv	American Standard Version (1901)
eng-glw	God's Living Word
eng-kjv	King James Version  with  Apocrypha
eng-kjv2006	King James Version
eng-lxx2012	LXX2012 U. S. English
eng-rv	Revised Version
eng-t4t	Translation for Translators
eng-uk-lxx2012	British English Septuagint 2012
eng-web	World English Bible Classic
eng-web-c	World English Bible (Catholic)
eng-webbe	World English Bible British Edition with Deuterocanon
engBBE	Bible in Basic English
engDBY	Darby Translation
engDRA	Douay-Rheims 1899
engPEV	Plain English Version
engULB	Unlocked Literal Bible
engWycliffe	Wycliffe Bible portions
engaoi	Anindilyakwa English Bible
engasvbt	ASV Byzantine Text
engbarkly	Barkly Bible Portions
engbsb	English Berean Standard Bible
engemtv	English Majority Text Version
engf35	Family 35 NT
engfbv	Free Bible Version
enggnv	Geneva Bible 1599
engjps	JPS TaNaKH 1917
engkjvcpb	KJV Cambridge Paragraph
englee	Leeser Tanakh
englsv	English LSV
englxxup	Updated Brenton English Septuagint
engmsb	Majority Standard BIble
engnet	NET Bible
engnna	Nyangumarta English Bible
engnoy	Noyes Bible
engoebcw	Open English Bible (Commonwealth)
engoebus	Open English Bible (US)
engojb	The Orthodox Jewish Bible -  Tanakh and Orthodox Jewish Brit Chadasha - The Holy Bible
engoke	Targum Onkelos Etheridge
engourb	One Unity Resource Bible
engtcent	Text-Critical English NT
engtnt	Tyndale NT
engwebp	World English Bible
engwebpb	World English Bible British Edition
engwebster	Webster Bible
engwebu	World English Bible Updated
engwmb	World Messianic Bible
engwmbb	World Messianic Bible British Edition
engwyc2017	English: Wycliffe's Bible Modern Spelling (with Deuterocanon)
engwyc2018	English: Wycliffe's Bible Modern Spelling (Enhanced) (with Deuterocanon)
engylt	Young's Literal Translation
enq2	Enga NT
epo	Esperanto Bible
eri	Ogea NT
eseNT	Ese Ejja NT
eskNT	Northwest Alaska Eskimo NT
etr	Edolo Bible
ewe	Éwé Bible
faa	Fasu NT
fad	Wagi Luke
fai	Faiwol NT
far	Fataleka New Testament
ffm	Maasina Fulfulde NT
fin	Finnish: Biblica® Avoin Elävä uutinen: Uusi testamentti vapaasti kerrottuna (New Testament)
for	Fore NT
fraLSG	French Louis Segond 1910 Bible
fra_fob	French Ostervald Bible
frajnd	French: Bible J.N. Darby
francl	French néo-Crampon Libre
frasbl	French Free Holy Bible for the World
fue	Fulfulde Borgu NT
fuf	Pular Fuuta-Jallon New Testament
fuhbkf	Fulfulde Burkina NT
gah	Alekano Bible
gai	New Testament in Mborena Kam language
gam	Kandawo NT
gaq	Gata Didayi NT
gaw	Nobnob NT
gax	Guji Oromo Bible
gaz	New Oromo Contemporary Version
gaze	West Central Oromo Bible
gbl	Gamit Bible
gdf	Guduf-Gava NT
gdn	Umanakaina NT
gdr	Wipi NT
geb	Kire NT
gel	ut-Ma’in: ut-Mai'n Scripture portions (Bible)
gfk	Patpatar NT and Psalms
gfkh	Hinsaal NT
gfks	Sokarek NT
gge	Gurrgoni Selections
ghn	Ghanongga: Kubokota Adapt New Testament (Bible)
ghs	Guhu-Samane NT
gia	Kitja Jonah
glk	Gilaki John
