Seq,Reference,PropersID,Year,Brief Description of Reading
303,Luke 9:28b-36,2nd Sunday of Lent,C,
304,Luke 9:28b-36,Aug 6: Transfiguration of the Lord (Year C),,
305,Luke 9:51-62,13th Sunday in Ordinary Time,C,
306,"Luke 10:1-12, 17-20 or 10:1-9",14th Sunday in Ordinary Time,C,
307,Luke 10:25-37,15th Sunday in Ordinary Time,C,
308,Luke 10:38-42,16th Sunday in Ordinary Time,C,
309,Luke 11:1-13,17th Sunday in Ordinary Time,C,
310,Luke 11:27-28,"Aug 15: Assumption of the BVMary, Vigil",,
311,Luke 12:13-21,18th Sunday in Ordinary Time,C,
312,Luke 12:32-48 or 12:35-40,19th Sunday in Ordinary Time,C,
313,Luke 12:49-53,20th Sunday in Ordinary Time,C,
314,Luke 13:1-9,3rd Sunday of Lent,C,
315,Luke 13:22-30,21st Sunday in Ordinary Time,C,
316,"Luke 14:1, 7-14",22nd Sunday in Ordinary Time,C,
317,Luke 14:25-33,23rd Sunday in Ordinary Time,C,
318,"Luke 15:1-3, 11-32",4th Sunday of Lent,C,
319,Luke 15:1-32 or 15:1-10,24th Sunday in Ordinary Time,C,
320,Luke 15:3-7,Friday after 2nd Sun after Pentecost: Sacred Heart,C,
321,Luke 16:1-13 or 16:10-13,25th Sunday in Ordinary Time,C,
322,Luke 16:19-31,26th Sunday in Ordinary Time,C,
323,Luke 17:5-10,27th Sunday in Ordinary Time,C,
324,Luke 17:11-19,28th Sunday in Ordinary Time,C,
325,Luke 18:1-8,29th Sunday in Ordinary Time,C,
326,Luke 18:9-14,30th Sunday in Ordinary Time,C,
327,Luke 19:1-10,31st Sunday in Ordinary Time,C,
328,Luke 19:28-40,Palm Sunday: Procession of Palms,C,
329,"Luke 20:27-38 or 20:27, 34-38",32nd Sunday in Ordinary Time,C,
330,Luke 21:5-19,33rd Sunday in Ordinary Time,C,
331,"Luke 21:25-28, 34-36",1st Sunday of Advent,C,
332,Luke 22:14-23:56 or 23:1-49,Palm Sunday Mass,C,
333,Luke 23:35-43,34th Sunday in Ord. Time: Christ the King,C,
334,Luke 24:1-12,Easter Vigil,C,
335,Luke 24:13-35,Easter Sunday: Resurrection of the Lord (opt. 2),ABC,
336,Luke 24:13-35,3rd Sunday of Easter,A,
337,Luke 24:35-48,3rd Sunday of Easter,B,
338,Luke 24:46-53,Ascension of the Lord,C,
339,"John 1:1-18 or 1:1-5, 9-14",Dec. 25: Christmas: Mass during the Day,ABC,
340,"John 1:1-18 or 1:1-5, 9-14",2nd Sunday after Christmas,ABC,
341,"John 1:6-8, 19-28",3rd Sunday of Advent,B,
342,John 1:29-34,2nd Sunday in Ordinary Time,A,
343,John 1:35-42,2nd Sunday in Ordinary Time,B,
344,John 2:1-11,2nd Sunday in Ordinary Time,C,
345,John 2:13-22,Nov 9: Dedication of the Lateran Basilica in Rome,,
346,John 2:13-25,3rd Sunday of Lent,B,
