Seq,Reference,PropersID,Year
156,"Tob 13:2, 6, 7, 10 [Vulg.]","Ord. Time, Week 9, Sat",1
157,"Judith 13:18bcde, 19",Dec 12: Our Lady of Guadalupe (responsorial),1+2
158,"Esth C:12, 14-16, 23-25","Lent, Week 1, Thurs",1+2
159,"1 Macc 1:10-15, 41-43, 54-57, 62-63","Ord. Time, Week 33, Mon",1
160,1 Macc 2:15-29,"Ord. Time, Week 33, Thurs",1
161,"1 Macc 4:36-37, 52-59","Ord. Time, Week 33, Fri",1
162,1 Macc 6:1-13,"Ord. Time, Week 33, Sat",1
163,2 Macc 6:18-31,"Ord. Time, Week 33, Tues",1
164,"2 Macc 7:1, 20-31","Ord. Time, Week 33, Wed",1
165,Job 1:6-22,"Ord. Time, Week 26, Mon",2
166,"Job 3:1-3, 11-17, 20-23","Ord. Time, Week 26, Tues",2
167,"Job 9:1-12, 14-16","Ord. Time, Week 26, Wed",2
168,Job 19:21-27,"Ord. Time, Week 26, Thurs",2
169,"Job 38:1, 12-21; 40:3-5","Ord. Time, Week 26, Fri",2
170,"Job 42:1-3, 5-6, 12-17","Ord. Time, Week 26, Sat",2
171,Prov 3:27-34,"Ord. Time, Week 25, Mon",2
172,"Prov 21:1-6, 10-13","Ord. Time, Week 25, Tues",2
173,Prov 30:5-9,"Ord. Time, Week 25, Wed",2
174,Eccl/Qoh 1:2-11,"Ord. Time, Week 25, Thurs",2
175,Eccl/Qoh 3:1-11,"Ord. Time, Week 25, Fri",2
176,Eccl/Qoh 11:9-12:8,"Ord. Time, Week 25, Sat",2
177,Cant 2:8-14,"Advent, Dec. 21 (opt. 1)",1+2
178,Wis 1:1-7,"Ord. Time, Week 32, Mon",1
179,"Wis 2:1a, 12-22","Lent, Week 4, Fri",1+2
180,Wis 2:23-3:9,"Ord. Time, Week 32, Tues",1
181,Wis 6:1-11,"Ord. Time, Week 32, Wed",1
182,Wis 7:22b-8:1,"Ord. Time, Week 32, Thurs",1
183,Wis 13:1-9,"Ord. Time, Week 32, Fri",1
184,Wis 18:14-16; 19:6-9,"Ord. Time, Week 32, Sat",1
185,Sir 1:1-10,"Ord. Time, Week 7, Mon",1
186,Sir 2:1-11,"Ord. Time, Week 7, Tues",1
187,Sir 4:11-19,"Ord. Time, Week 7, Wed",1
188,Sir 5:1-8,"Ord. Time, Week 7, Thurs",1
189,Sir 6:5-17,"Ord. Time, Week 7, Fri",1
190,Sir 17:1-15,"Ord. Time, Week 7, Sat",1
191,Sir 17:20-24,"Ord. Time, Week 8, Mon",1
192,Sir 35:1-12,"Ord. Time, Week 8, Tues",1
193,"Sir 36:1, 4-5a, 10-17","Ord. Time, Week 8, Wed",1
194,Sir 42:15-25,"Ord. Time, Week 8, Thurs",1
195,"Sir 44:1, 9-13","Ord. Time, Week 8, Fri",1
196,"Sir 44:1, 10-15","July 26: Sts. Joachim and Anne, parents of BVMary",1+2
197,Sir 47:2-11,"Ord. Time, Week 4, Fri",2
198,"Sir 48:1-4, 9-11","Advent, Week 2, Sat",1+2
199,Sir 48:1-14,"Ord. Time, Week 11, Thurs",2
200,Sir 51:12cd-20,"Ord. Time, Week 8, Sat",1
201,Isa 1:10-17,"Ord. Time, Week 15, Mon",2
202,"Isa 1:10, 16-20","Lent, Week 2, Tues",1+2
203,Isa 2:1-5,"Advent, Week 1, Mon",1+2
204,Isa 4:2-6,"Advent, Week 1, Mon (in Year A)",1+2
205,Isa 6:1-8,"Ord. Time, Week 14, Sat",2
206,Isa 7:1-9,"Ord. Time, Week 15, Tues",2
207,Isa 7:10-14,"Advent, Dec. 20",1+2
208,Isa 7:10-14; 8:10,March 25: Solemnity: Annunciation of the Lord,1+2
209,"Isa 10:5-7, 13b-16","Ord. Time, Week 15, Wed",2
210,Isa 11:1-10,"Advent, Week 1, Tues",1+2
211,"Isa 12:2-3, 4bcd, 5-6","Ord. Time, Week 19, Fri",2
212,"Isa 12:2-3, 4bcd, 5-6","Ord. Time, Week 29, Wed",2
213,"Isa 12:2-3, 4bcd, 5-6",May 31: Visitation of the BVMary (responsorial),1+2
214,Isa 25:6-10a,"Advent, Week 1, Wed",1+2
215,Isa 26:1-6,"Advent, Week 1, Thurs",1+2
216,"Isa 26:7-9, 12, 16-19","Ord. Time, Week 15, Thurs",2
217,Isa 29:17-24,"Advent, Week 1, Fri",1+2
218,"Isa 30:19-21, 23-26","Advent, Week 1, Sat",1+2
219,Isa 35:1-10,"Advent, Week 2, Mon",1+2
220,"Isa 38:1-6, 21-22, 7-8","Ord. Time, Week 15, Fri",2
221,"Isa 38:10, 11, 12abcd, 16","Ord. Time, Week 15, Fri",2
222,Isa 40:1-11,"Advent, Week 2, Tues",1+2
223,Isa 40:25-31,"Advent, Week 2, Wed",1+2
224,Isa 41:13-20,"Advent, Week 2, Thurs",1+2
225,Isa 42:1-7,"Holy Week, Mon",1+2
226,"Isa 45:6c-8, 18, 21c-25","Advent, Week 3, Wed",1+2
227,Isa 48:17-19,"Advent, Week 2, Fri",1+2
228,Isa 49:1-6,"Holy Week, Tues",1+2
229,Isa 49:1-6,"June 24: Solemnity: Nativity of St. John the Baptist, Day",1+2
230,Isa 49:8-15,"Lent, Week 4, Wed",1+2
231,Isa 50:4-9a,"Holy Week, Wed",1+2
232,Isa 52:13-53:12,Good Friday of the Lord's Passion,1+2
233,Isa 54:1-10,"Advent, Week 3, Thurs",1+2
234,Isa 55:10-11,"Lent, Week 1, Tues",1+2
