HymnID	HymnNoticeText	HymnalID	HymnNumber	HymnFirstLine	Metre	Tune	Occasion	Plainsong	Alternates
CH0144	CH144 Dear love of my heart	CH	144	Dear love of my heart
CH0145	CH145 Deep within I will plant my law	CH	145	Deep within I will plant my law
CH0146	CH146 Ding dong! Merrily on high	CH	146	Ding dong! Merrily on high
CH0147	CH147 Do not be afraid	CH	147	Do not be afraid
CH0148	CH148 Do not worry over what to eat	CH	148	Do not worry over what to eat
CH0149	CH149 Dona nobis pacem	CH	149	Dona nobis pacem
CH0150	CH150 Draw nigh and take the body of the Lord	CH	150	Draw nigh and take the body of the Lord
CH0151	CH151 Eat this bread (Taizé)	CH	151	Eat this bread (Taizé)
CH0152	CH152 Eternal Father, strong to save	CH	152	Eternal Father, strong to save
CH0154	CH154 Eye has not seen	CH	154	Eye has not seen
CH0155	CH155 Flow river flow	CH	155	Flow river flow
CH0156	CH156 Faith of our fathers	CH	156	Faith of our fathers
CH0157	CH157 Father and life-giver	CH	157	Father and life-giver
CH0158	CH158 Father, hear the prayer we offer	CH	158	Father, hear the prayer we offer
CH0159	CH159 Father, I place into your hands	CH	159	Father, I place into your hands
CH0160	CH160 Father, in my life I see	CH	160	Father, in my life I see
CH0161	CH161 Father, Lord of all creation	CH	161	Father, Lord of all creation
CH0162	CH162 Father most holy, merciful and loving	CH	162	Father most holy, merciful and loving
CH0163	CH163 Father of heav'n, whose love profound	CH	163	Father of heav'n, whose love profound
CH0164	CH164 Father, we adore You	CH	164	Father, we adore You
CH0165	CH165 Father, we come in prayer	CH	165	Father, we come in prayer
CH0165	CH165 Song of Ruth	CH	165	Song of Ruth
CH0166	CH166 Father, we come to you	CH	166	Father, we come to you
CH0167	CH167 Father, we love You	CH	167	Father, we love You
CH0168	CH168 Father, we praise you now the night is over	CH	168	Father, we praise you now the night is over
CH0169	CH169 Fear not, rejoice and be glad	CH	169	Fear not, rejoice and be glad
CH0170	CH170 Feed my lambs, my son	CH	170	Feed my lambs, my son
CH0171	CH171 Fight the good fight	CH	171	Fight the good fight
CH0172	CH172 Fill my house unto the fullest	CH	172	Fill my house unto the fullest
CH0173	CH173 Firmly I believe and truly	CH	173	Firmly I believe and truly
CH0174	CH174 For I'm building a people of power	CH	174	For I'm building a people of power
CH0175	CH175 Follow me, follow me	CH	175	Follow me, follow me
CH0176	CH176 For all the saints	CH	176	For all the saints
CH0177	CH177 For the beauty of the earth	CH	177	For the beauty of the earth
CH0178	CH178 For the fruits of his creation	CH	178	For the fruits of his creation
CH0179	CH179 For the healing of the nations	CH	179	For the healing of the nations
CH0180	CH180 For unto us a child is born	CH	180	For unto us a child is born
CH0181	CH181 For You, O Lord	CH	181	For You, O Lord
CH0181	CH181 My soul in stillness waits	CH	181	My soul in stillness waits
CH0182	CH182 Forgive our sins as we forgive	CH	182	Forgive our sins as we forgive
CH0183	CH183 Forth in the peace of Christ	CH	183	Forth in the peace of Christ
CH0184	CH184 Forth in thy name	CH	184	Forth in thy name
CH0185	CH185 Forty days and forty nights	CH	185	Forty days and forty nights
CH0186	CH186 Freely, I give to you	CH	186	Freely, I give to you
CH0187	CH187 From heaven You came	CH	187	From heaven You came
CH0187	CH187 The Servant King	CH	187	The Servant King
CH0188	CH188 From the depths of sin and sadness	CH	188	From the depths of sin and sadness
CH0189	CH189 Give thanks	CH	189	Give thanks
CH0190	CH190 Give me joy in my heart	CH	190	Give me joy in my heart
CH0190	CH190 Sing hosanna	CH	190	Sing hosanna
