2027-05-27	Thu	VOE	St Augustine of Canterbury, Bishop	St Augustine of Canterbury, Bishop
2027-05-28	Fri	VOE	Trinity Octave:Fri	Trinity Octave:Fri
2027-05-29	Sat	VOE	Trinity Octave:Sat	Trinity Octave:Sat	St Paul VI, Pope	Saturday memorial of our Lady
2027-05-30	Sun	VOE	CORPUS CHRISTI	CORPUS CHRISTI
2027-05-31	Mon	VOE	Visitation of our Lady	Visitation of our Lady
2027-06-01	Tue	VOE	St Justin, Martyr	St Justin, Martyr
2027-06-02	Wed	VOE	Trinitytide First:Wed	Trinitytide First:Wed	Ss Marcellinus & Peter, Martyrs
2027-06-03	Thu	VOE	Ss Charles Lwanga & Companions, Martyrs	Ss Charles Lwanga & Companions, Martyrs
2027-06-04	Fri	VOE	Most Sacred Heart of Jesus	Most Sacred Heart of Jesus
2027-06-05	Sat	VOE	St Boniface, Bishop, Martyr	St Boniface, Bishop, Martyr	Immaculate Heart of Mary
2027-06-06	Sun	VOE	TRINITY II	TRINITY II
2027-06-07	Mon	VOE	Trinitytide II:Mon	Trinitytide II:Mon
2027-06-08	Tue	VOE	Trinitytide II:Tue	Trinitytide II:Tue
2027-06-09	Wed	VOE	Trinitytide II:Wed	Trinitytide II:Wed	St Ephrem of Edessa, Deacon, Doctor	St Columba of Iona, Abbot
2027-06-10	Thu	VOE	Trinitytide II:Thu	Trinitytide II:Thu
2027-06-11	Fri	VOE	St Barnabas, Apostle	St Barnabas, Apostle
2027-06-12	Sat	VOE	Trinitytide II:Sat	Trinitytide II:Sat	Saturday memorial of our Lady
2027-06-13	Sun	VOE	TRINITY III	TRINITY III
2027-06-14	Mon	VOE	Trinitytide III:Mon	Trinitytide III:Mon
2027-06-15	Tue	VOE	Trinitytide III:Tue	Trinitytide III:Tue
2027-06-16	Wed	VOE	Trinitytide III:Wed	Trinitytide III:Wed	St Richard of Chichester, Bishop
2027-06-17	Thu	VOE	Trinitytide III:Thu	Trinitytide III:Thu
2027-06-18	Fri	VOE	Trinitytide III:Fri	Trinitytide III:Fri
2027-06-19	Sat	VOE	Trinitytide III:Sat	Trinitytide III:Sat	St Romuald, Abbot	Saturday memorial of our Lady
2027-06-20	Sun	VOE	TRINITY IV	TRINITY IV
2027-06-21	Mon	VOE	St Aloysius Gonzaga, Religious	St Aloysius Gonzaga, Religious
2027-06-22	Tue	VOE	Ss John Fisher, Bishop, & Thomas More, Martyrs	Ss John Fisher, Bishop, & Thomas More, Martyrs
2027-06-23	Wed	VOE	Trinitytide IV:Wed	Trinitytide IV:Wed	St Etheldreda, Abbess
2027-06-24	Thu	VOE	Nativity of St John the Baptist	Nativity of St John the Baptist
2027-06-25	Fri	VOE	Trinitytide IV:Fri	Trinitytide IV:Fri
2027-06-26	Sat	VOE	Trinitytide IV:Sat	Trinitytide IV:Sat	Saturday memorial of our Lady
2027-06-27	Sun	VOE	TRINITY V	TRINITY V
2027-06-28	Mon	VOE	St Irenaeus of Lyons, Bishop, Doctor, Martyr	St Irenaeus of Lyons, Bishop, Doctor, Martyr
2027-06-29	Tue	VOE	SS PETER & PAUL, APOSTLES	SS PETER & PAUL, APOSTLES
2027-06-30	Wed	VOE	Trinitytide V:Wed	Trinitytide V:Wed	First Martyrs of the See of Rome
2027-07-01	Thu	VOE	Trinitytide V:Thu	Trinitytide V:Thu	St Oliver Plunket, Bishop, Martyr
2027-07-02	Fri	VOE	Trinitytide V:Fri	Trinitytide V:Fri
2027-07-03	Sat	VOE	St Thomas, Apostle	St Thomas, Apostle
2027-07-04	Sun	VOE	TRINITY VI	TRINITY VI
