Date	DOW	Rite	PropersID_Selected	PropersID_Alt	PropersID_Default	PropersID_Option1	PropersID_Option2	PropersID_Option3	PropersID_Option4	BlankColumn
2027-05-10	Mon	NOE	Ascensiontide II:Mon		Ascensiontide II:Mon
2027-05-11	Tue	NOE	Eastertide VII:Tue		Eastertide VII:Tue
2027-05-12	Wed	NOE	Ascensiontide II:Wed		Ascensiontide II:Wed
2027-05-13	Thu	NOE	Ascensiontide II:Thu		Ascensiontide II:Thu
2027-05-14	Fri	NOE	St Matthias, Apostle		St Matthias, Apostle
2027-05-15	Sat	NOE	St John Baptist de La Salle, Catholic Education Co-Patron, Priest, Religious, Founder, Confessor		St John Baptist de La Salle, Catholic Education Co-Patron, Priest, Religious, Founder, Confessor	Eastertide VII:Sat
2027-05-16	Sun	NOE	PENTECOST SUNDAY		PENTECOST SUNDAY
2027-05-17	Mon	NOE	Pentecost Octave:Mon		Pentecost Octave:Mon
2027-05-18	Tue	NOE	Ord Time VII:Tue		Ord Time VII:Tue	St John I, Pope, Martyr
2027-05-19	Wed	NOE	Dedication of the Cathedral		Dedication of the Cathedral
2027-05-20	Thu	NOE	Pentecost Octave:Thu		Pentecost Octave:Thu
2027-05-21	Fri	NOE	Ord Time VII:Fri		Ord Time VII:Fri	Ss Christopher Magallanes, Priest, & Companions, Martyrs
2027-05-22	Sat	NOE	Ord Time VII:Sat		Ord Time VII:Sat	St Rita of Cascia, Religious	Saturday memorial of our Lady
2027-05-23	Sun	NOE	TRINITY SUNDAY		TRINITY SUNDAY
2027-05-24	Mon	NOE	Ord Time VIII:Mon		Ord Time VIII:Mon
2027-05-25	Tue	NOE	St Bede the Venerable, Priest, Doctor		St Bede the Venerable, Priest, Doctor
2027-05-26	Wed	NOE	St Philip Neri, Founder, Priest		St Philip Neri, Founder, Priest
2027-05-27	Thu	NOE	St Augustine of Canterbury, Bishop		St Augustine of Canterbury, Bishop
2027-05-28	Fri	NOE	Ord Time VIII:Fri		Ord Time VIII:Fri
2027-05-29	Sat	NOE	Ord Time VIII:Sat		Ord Time VIII:Sat	St Paul VI, Pope	Saturday memorial of our Lady
2027-05-30	Sun	NOE	CORPUS CHRISTI		CORPUS CHRISTI
2027-05-31	Mon	NOE	Visitation of our Lady		Visitation of our Lady
2027-06-01	Tue	NOE	St Justin, Martyr		St Justin, Martyr
2027-06-02	Wed	NOE	Ord Time IX:Wed		Ord Time IX:Wed	Ss Marcellinus & Peter, Martyrs
2027-06-03	Thu	NOE	Ss Charles Lwanga & Companions, Martyrs		Ss Charles Lwanga & Companions, Martyrs
