HymnsID	ValidationDropDownList	Hymnal	HymnNumber	FirstLine	Tune	Metre	Occasion	PD	EHNote	EHNote2
	string	HymnalCode	HymnNumber	string						
C227.Hymns	C227 God’s spirit is in my heart	CH:Celebration Hymnal for Everyone	227	God’s spirit is in my heart						
C228.Hymns	C228 Godhead here in hiding	CH:Celebration Hymnal for Everyone	228	Godhead here in hiding				*		
C229.Hymns	C229 Good Christians all, rejoice	CH:Celebration Hymnal for Everyone	229	Good Christians all, rejoice				*		
C23.Hymns	C23 All that I am	CH:Celebration Hymnal for Everyone	23	All that I am						
C230.Hymns	C230 Good Christians all, rejoice and sing	CH:Celebration Hymnal for Everyone	230	Good Christians all, rejoice and sing						
C231.Hymns	C231 Great is the Lord my soul proclaims	CH:Celebration Hymnal for Everyone	231	Great is the Lord my soul proclaims						
C232.Hymns	C232 Great Saint Andrew	CH:Celebration Hymnal for Everyone	232	Great Saint Andrew				*		
C233.Hymns	C233 Guide me, O thou great Redeemer	CH:Celebration Hymnal for Everyone	233	Guide me, O thou great Redeemer				*		
C234.Hymns	C234 Hail, glorious Saint Patrick	CH:Celebration Hymnal for Everyone	234	Hail, glorious Saint Patrick				*		
C235.Hymns	C235 Hail, holy Joseph, hail!	CH:Celebration Hymnal for Everyone	235	Hail, holy Joseph, hail!						
C236.Hymns	C236 Hail Mary, full of grace	CH:Celebration Hymnal for Everyone	236	Hail Mary, full of grace						
C237.Hymns	C237 Hail Mary, Mother of our God	CH:Celebration Hymnal for Everyone	237	Hail Mary, Mother of our God						
C238.Hymns	C238 Hail, Queen of Heav’n	CH:Celebration Hymnal for Everyone	238	Hail, Queen of Heav’n				*		
C239.Hymns	C239 Hail, Redeemer, King divine	CH:Celebration Hymnal for Everyone	239	Hail, Redeemer, King divine						
C24.Hymns	C24 All the earth proclaim the Lord	CH:Celebration Hymnal for Everyone	24	All the earth proclaim the Lord						
C240.Hymns	C240 Hail the day that sees him rise	CH:Celebration Hymnal for Everyone	240	Hail the day that sees him rise				*		
C241.Hymns	C241 Hail to the Lord’s anointed	CH:Celebration Hymnal for Everyone	241	Hail to the Lord’s anointed				*		
C242.Hymns	C242 Happy the man who wanders with the Lord	CH:Celebration Hymnal for Everyone	242	Happy the man who wanders with the Lord						
C243.Hymns	C243 Hark! A herald voice is calling	CH:Celebration Hymnal for Everyone	243	Hark! A herald voice is calling				*		
C244.Hymns	C244 Hark, the herald angels sing	CH:Celebration Hymnal for Everyone	244	Hark, the herald angels sing				*		
C245.Hymns	C245 He became poor	CH:Celebration Hymnal for Everyone	245	He became poor						
C246.Hymns	C246 He is Lord, he is Lord	CH:Celebration Hymnal for Everyone	246	He is Lord, he is Lord				*		
C247.Hymns	C247 He is risen, tell the story	CH:Celebration Hymnal for Everyone	247	He is risen, tell the story						
C248.Hymns	C248 He who would valiant be	CH:Celebration Hymnal for Everyone	248	He who would valiant be				*		
C249.Hymns	C249 He’s got the whole world in his hand	CH:Celebration Hymnal for Everyone	249	He’s got the whole world in his hand				*		
C25.Hymns	C25 All the ends of the earth	CH:Celebration Hymnal for Everyone	25	All the ends of the earth						
C250.Hymns	C250 Hear my cry, O God	CH:Celebration Hymnal for Everyone	250	Hear my cry, O God						
C251.Hymns	C251 Hear us, almighty Lord (Attende Domine)	CH:Celebration Hymnal for Everyone	251	Hear us, almighty Lord (Attende Domine)						
C252.Hymns	C252 Help, Lord, the souls that thou hast made	CH:Celebration Hymnal for Everyone	252	Help, Lord, the souls that thou hast made				*		
C253.Hymns	C253 Here in this place	CH:Celebration Hymnal for Everyone	253	Here in this place						
C254.Hymns	C254 Here’s a child for you, O Lord	CH:Celebration Hymnal for Everyone	254	Here’s a child for you, O Lord						
C255.Hymns	C255 Hills of the north, rejoice	CH:Celebration Hymnal for Everyone	255	Hills of the north, rejoice				*		
C256.Hymns	C256 Holy Father, God of might	CH:Celebration Hymnal for Everyone	256	Holy Father, God of might						
C257.Hymns	C257 Holy God, we praise thy name	CH:Celebration Hymnal for Everyone	257	Holy God, we praise thy name				*		
C258.Hymns	C258 Holy, holy, holy, holy (Owens)	CH:Celebration Hymnal for Everyone	258	Holy, holy, holy, holy (Owens)						
C259.Hymns	C259 Holy, holy, holy! Lord God almighty	CH:Celebration Hymnal for Everyone	259	Holy, holy, holy! Lord God almighty				*		
C26.Hymns	C26 All the nations of the earth	CH:Celebration Hymnal for Everyone	26	All the nations of the earth						
C260.Hymns	C260 Holy Spirit, hear us; help us while we sing	CH:Celebration Hymnal for Everyone	260	Holy Spirit, hear us; help us while we sing				*		
C261.Hymns	C261 Holy Spirit, Lord of light	CH:Celebration Hymnal for Everyone	261	Holy Spirit, Lord of light				*		
C262.Hymns	C262 Holy Spirit of fire	CH:Celebration Hymnal for Everyone	262	Holy Spirit of fire				*		
C263.Hymns	C263 Holy Virgin, by God’s decree	CH:Celebration Hymnal for Everyone	263	Holy Virgin, by God’s decree						
C264.Hymns	C264 Hosanna… Blessed is he	CH:Celebration Hymnal for Everyone	264	Hosanna… Blessed is he						
C265.Hymns	C265 Hosanna, loud hosanna	CH:Celebration Hymnal for Everyone	265	Hosanna, loud hosanna				*		
C266.Hymns	C266 How brightly beams the morning star	CH:Celebration Hymnal for Everyone	266	How brightly beams the morning star						
C267.Hymns	C267 How dark was the stable	CH:Celebration Hymnal for Everyone	267	How dark was the stable						
C268.Hymns	C268 How lovely on the mountains	CH:Celebration Hymnal for Everyone	268	How lovely on the mountains						
C269.Hymns	C269 How shall they hear the word of God	CH:Celebration Hymnal for Everyone	269	How shall they hear the word of God						
C27.Hymns	C27 All things bright and beautiful	CH:Celebration Hymnal for Everyone	27	All things bright and beautiful				*		
C270.Hymns	C270 I am a new creation	CH:Celebration Hymnal for Everyone	270	I am a new creation						
C271.Hymns	C271 I am the bread of life (Konstant)	CH:Celebration Hymnal for Everyone	271	I am the bread of life (Konstant)						
C272.Hymns	C272 I am the Bread of life (Toolan)	CH:Celebration Hymnal for Everyone	272	I am the Bread of life (Toolan)						
C273.Hymns	C273 I am the vine, you are the branches	CH:Celebration Hymnal for Everyone	273	I am the vine, you are the branches						
C274.Hymns	C274 I bind unto myself today	CH:Celebration Hymnal for Everyone	274	I bind unto myself today				*		
C275.Hymns	C275 I danced in the morning	CH:Celebration Hymnal for Everyone	275	I danced in the morning						
C276.Hymns	C276 I have loved you with an everlasting love	CH:Celebration Hymnal for Everyone	276	I have loved you with an everlasting love						
C277.Hymns	C277 I lift my eyes to the mountains (Norbert)	CH:Celebration Hymnal for Everyone	277	I lift my eyes to the mountains (Norbert)						
C278.Hymns	C278 I lift up my eyes (Huijbers)	CH:Celebration Hymnal for Everyone	278	I lift up my eyes (Huijbers)						
C279.Hymns	C279 I met you at the cross	CH:Celebration Hymnal for Everyone	279	I met you at the cross						
C28.Hymns	C28 All this world belongs to Jesus	CH:Celebration Hymnal for Everyone	28	All this world belongs to Jesus						
C280.Hymns	C280 I received the living God	CH:Celebration Hymnal for Everyone	280	I received the living God				*		
C281.Hymns	C281 I rejoiced when I heard them say	CH:Celebration Hymnal for Everyone	281	I rejoiced when I heard them say						
C282.Hymns	C282 I saw a star up high	CH:Celebration Hymnal for Everyone	282	I saw a star up high						
C283.Hymns	C283 I saw the grass	CH:Celebration Hymnal for Everyone	283	I saw the grass						
C284.Hymns	C284 I sing a song to you, Lord	CH:Celebration Hymnal for Everyone	284	I sing a song to you, Lord						
C285.Hymns	C285 I, the Lord of sea and sky	CH:Celebration Hymnal for Everyone	285	I, the Lord of sea and sky						
C286.Hymns	C286 I vow to thee, my country	CH:Celebration Hymnal for Everyone	286	I vow to thee, my country				*		
C287.Hymns	C287 I was born before creation	CH:Celebration Hymnal for Everyone	287	I was born before creation						
C288.Hymns	C288 I watch the sunrise	CH:Celebration Hymnal for Everyone	288	I watch the sunrise						
C289.Hymns	C289 I will be with you	CH:Celebration Hymnal for Everyone	289	I will be with you						
