HymnsID	ValidationDropDownList	Hymnal	HymnNumber	FirstLine	Tune	Metre	Occasion	PD	EHNote	EHNote2
	string	HymnalCode	HymnNumber	string						
E358.Hymns	E358 Now the labourer’s task is o’er (PRESSBURG (NICHT SO TRAURIG))	EH:English Hymnal	358	Now the labourer’s task is o’er	Pressburg (Nicht so traurig)	77.77.77.	The Departed			
E359.Hymns	E359 O Lord, to whom the spirits live (SOUTH CERNEY)	EH:English Hymnal	359	O Lord, to whom the spirits live	South Cerney	88.88.88.	The Departed			
E36.Hymns	E36 O happy day, when first was poured (DAS WALT’ GOTT VATER)	EH:English Hymnal	36	O happy day, when first was poured	Das walt’ Gott Vater	L.M.	Circumcision of Christ			
E360.Hymns	E360 What sweet of life endureth (CHRISTUS DER IST MEIN LEBEN [D MAJOR])	EH:English Hymnal	360	What sweet of life endureth	Christus der ist mein Leben [D major]	76.76.	The Departed			
E361.Hymns	E361 A few more years shall roll (LEOMINSTER)	EH:English Hymnal	361	A few more years shall roll	Leominster	D.S.M.	General			
E362.Hymns	E362 A safe stronghold our God is still (EIN’ FESTE BURG)	EH:English Hymnal	362	A safe stronghold our God is still	Ein’ feste burg	87.87.66.667.	General			
E363.Hymns	E363 Abide with me; fast falls the eventide (EVENTIDE)	EH:English Hymnal	363	Abide with me; fast falls the eventide	Eventide	10 10.10 10.	General			
E364.Hymns	E364 All hail the power of Jesu’s name (MILES LANE)	EH:English Hymnal	364	All hail the power of Jesu’s name	Miles Lane	C.M.	General			
E365.Hymns	E365 All people that on earth do dwell (OLD HUNDREDTH)	EH:English Hymnal	365	All people that on earth do dwell	Old Hundredth	L.M.	General			
E366.Hymns	E366 Art thou weary, art thou languid (CUTTLE MILLS)	EH:English Hymnal	366	Art thou weary, art thou languid	Cuttle Mills	85.83.	General			App. 18
E367.Hymns	E367 As pants the hart for cooling streams (MARTYRDOM)	EH:English Hymnal	367	As pants the hart for cooling streams	Martyrdom	C.M.	General			
E368.Hymns	E368 At the Name of Jesus (LAUS TIBI CHRISTE 1E OR KING’S WESTON 2E)	EH:English Hymnal	368	At the Name of Jesus	Laus tibi Christe 1E or King’s Weston 2E	65.65.D.	General			
E369.Hymns	E369 Be thou my Guardian and my guide (ABRIDGE)	EH:English Hymnal	369	Be thou my Guardian and my guide	Abridge	C.M.	General			
E37.Hymns	E37 Conquering kings their titles take (INNOCENTS)	EH:English Hymnal	37	Conquering kings their titles take	Innocents	77.77.	Circumcision of Christ			
E370.Hymns	E370 Blest are the pure in heart (FRANCONIA)	EH:English Hymnal	370	Blest are the pure in heart	Franconia	S.M.	General			
E371.Hymns	E371 Brief life is here our portion (ST ALPHEGE [F MAJOR])	EH:English Hymnal	371	Brief life is here our portion	St Alphege [F major]	76.76.	General			
E372.Hymns	E372 Bright the vision that delighted (REDHEAD NO. 46)	EH:English Hymnal	372	Bright the vision that delighted	Redhead No. 46	87.87.	General			
E373.Hymns	E373 Children of the heavenly King (GOTT SEI DANK 1E OR MELLING 2E)	EH:English Hymnal	373	Children of the heavenly King	Gott sei Dank 1E or Melling 2E	77.77.	General			
E374.Hymns	E374 ‘Christian, seek not yet repose,’ (MORGENGLANZ DER EWIGKEIT)	EH:English Hymnal	374	‘Christian, seek not yet repose,’	Morgenglanz der ewigkeit	77.73.	General			
E375.Hymns	E375 City of God, how broad and far (RICHMOND)	EH:English Hymnal	375	City of God, how broad and far	Richmond	C.M.	General			
E376.Hymns	E376 Come, let us join our cheerful songs (NATIVITY 1E OR CHEERFUL 2E)	EH:English Hymnal	376	Come, let us join our cheerful songs	Nativity 1E or Cheerful 2E	C.M.	General			App. 48
E377.Hymns	E377 Come, my soul, thy suit prepare (LOUEZ DIEU)	EH:English Hymnal	377	Come, my soul, thy suit prepare	Louez Dieu	77.77.	General			
E378.Hymns	E378 Come, O thou Traveller unknown (DAVID’S HARP)	EH:English Hymnal	378	Come, O thou Traveller unknown	David’s Harp	88.88.88.	General			
E379.Hymns	E379 ‘Come unto me, ye weary’ (RUSPER)	EH:English Hymnal	379	‘Come unto me, ye weary’	Rusper	76.76.D.	General			
E38.Hymns	E38 Why, impious Herod, shouldst thou fear (ST VENANTIUS)	EH:English Hymnal	38	Why, impious Herod, shouldst thou fear	St Venantius	L.M.	Epiphany		P	
E380.Hymns	E380 Come, ye faithful, raise the anthem (NEANDER)	EH:English Hymnal	380	Come, ye faithful, raise the anthem	Neander	87.87.87.	General			
E381.Hymns	E381 Crown him with many crowns (OLIVA SPECIOSA 1E OR MILITES 2E OR CORONA 2E)	EH:English Hymnal	381	Crown him with many crowns	Oliva speciosa 1E or Milites 2E or Corona 2E	D.S.M.	General			App. 49
E382.Hymns	E382 Days and moments quickly flying (OMNI DIE 1E OR GOLDSCHMIDT (O DER ALLES) 2E)	EH:English Hymnal	382	Days and moments quickly flying	Omni Die 1E or Goldschmidt (O der alles) 2E	87.87.	General			
E383.Hymns	E383 Dear Lord and Father of mankind (HAMMERSMITH 1E OR REPTON 2E)	EH:English Hymnal	383	Dear Lord and Father of mankind	Hammersmith 1E or Repton 2E	86.886.	General			App. 50
E384.Hymns	E384 Eternal Ruler of the ceaseless round (SONG 1 [F MAJOR])	EH:English Hymnal	384	Eternal Ruler of the ceaseless round	Song 1 [F major]	10 10.10 10.10 10.	General			
E385.Hymns	E385 Father, hear the prayer we offer (SUSSEX)	EH:English Hymnal	385	Father, hear the prayer we offer	Sussex	87.87.	General			
E386.Hymns	E386 Father of all, to thee (DOLGELLY 1E OR WARSAW 2E)	EH:English Hymnal	386	Father of all, to thee	Dolgelly 1E or Warsaw 2E	66.66.88.	General			
E387.Hymns	E387 Father of heaven, whose love profound (DAS LEIDEN DES HERRN)	EH:English Hymnal	387	Father of heaven, whose love profound	Das Leiden des Herrn	L.M.	General			
E388.Hymns	E388 Fierce was the wild billow (ST ISSEY)	EH:English Hymnal	388	Fierce was the wild billow	St Issey	64.64.D.	General			
E389.Hymns	E389 Fight the good fight with all thy might (SHEPTON-BEAUCHAMP)	EH:English Hymnal	389	Fight the good fight with all thy might	Shepton-Beauchamp	L.M.	General			
E39.Hymns	E39 As with gladness men of old (DIX)	EH:English Hymnal	39	As with gladness men of old	Dix	77.77.77.	Epiphany			
E390.Hymns	E390 Firmly I believe and truly (SHIPSTON)	EH:English Hymnal	390	Firmly I believe and truly	Shipston	87.87.	General			
E391.Hymns	E391 ‘For ever with the Lord!’ (MONTGOMERY 1E OR LLANLLYFNI 2E)	EH:English Hymnal	391	‘For ever with the Lord!’	Montgomery 1E or Llanllyfni 2E	D.S.M.	General			App. 51
E392.Hymns	E392 For thee, O dear, dear country (MAGDALENA)	EH:English Hymnal	392	For thee, O dear, dear country	Magdalena	76.76.	General			
E393.Hymns	E393 Glorious things of thee are spoken (AUSTRIAN HYMN)	EH:English Hymnal	393	Glorious things of thee are spoken	Austrian Hymn	87.87.D.	General			
E394.Hymns	E394 God moves in a mysterious way (LONDON NEW)	EH:English Hymnal	394	God moves in a mysterious way	London New	C.M.	General			
E395.Hymns	E395 God of mercy, God of grace (HEATHLANDS)	EH:English Hymnal	395	God of mercy, God of grace	Heathlands	77.77.77.	General			
E396.Hymns	E396 Gracious Spirit, Holy Ghost (CAPETOWN 1E OR DIAN 2E)	EH:English Hymnal	396	Gracious Spirit, Holy Ghost	Capetown 1E or Dian 2E	77.75.	General			
E397.Hymns	E397 Guide me, O thou great Redeemer (CAERSALEM)	EH:English Hymnal	397	Guide me, O thou great Redeemer	Caersalem	87.87.47.	General			
E398.Hymns	E398 Happy are they, they that love God (BINCHESTER)	EH:English Hymnal	398	Happy are they, they that love God	Binchester	C.M.	General			
E399.Hymns	E399 Hark! hark, my soul! Angelic songs are swelling (PILGRIMS OF THE NIGHT)	EH:English Hymnal	399	Hark! hark, my soul! Angelic songs are swelling	Pilgrims of the night	11 10.11 10.9 11.	General			
E4.Hymns	E4 Great God, what do I see and hear! (LUTHER’S HYMN (NUN FREUT EUCH))	EH:English Hymnal	4	Great God, what do I see and hear!	Luther’s Hymn (Nun freut euch)	87.87.887.	Advent			
E40.Hymns	E40 Bethlehem, of noblest cities (STUTTGART)	EH:English Hymnal	40	Bethlehem, of noblest cities	Stuttgart	87.87.	Epiphany			
E400.Hymns	E400 Hark, my soul! it is the Lord (ST BEES 1E OR WHITE LADIES ASTON 2E)	EH:English Hymnal	400	Hark, my soul! it is the Lord	St Bees 1E or White Ladies Aston 2E	77.77.	General			App. 52
E401.Hymns	E401 He wants not friends that hath thy love (CAMERONIAN MIDNIGHT HYMN)	EH:English Hymnal	401	He wants not friends that hath thy love	Cameronian midnight hymn	L.M.	General			
E402.Hymns	E402 He who would valiant be (MONKS GATE)	EH:English Hymnal	402	He who would valiant be	Monks Gate	11 11.12 11.	General			
E403.Hymns	E403 Hold thou my hands! (MISERERE MEI)	EH:English Hymnal	403	Hold thou my hands!	Miserere mei	48.84.	General			
E404.Hymns	E404 How shall I sing that Majesty (OLD 137TH)	EH:English Hymnal	404	How shall I sing that Majesty	Old 137th	D.C.M.	General			
E405.Hymns	E405 How sweet the name of Jesus sounds (ST PETER)	EH:English Hymnal	405	How sweet the name of Jesus sounds	St Peter	C.M.	General			
E406.Hymns	E406 I look to thee in every need (O JESU)	EH:English Hymnal	406	I look to thee in every need	O Jesu	86.86.88.	General			
E407.Hymns	E407 Immortal, invisible, God only wise (ST DENIO)	EH:English Hymnal	407	Immortal, invisible, God only wise	St Denio	11 11.11 11.	General			
E408.Hymns	E408 Immortal love for ever full (BISHOPTHORPE (OR ST. PAUL’S))	EH:English Hymnal	408	Immortal love for ever full	Bishopthorpe (or St. Paul’s)	C.M.	General			
E409.Hymns	E409 In the Cross of Christ I glory (WYCHBOLD)	EH:English Hymnal	409	In the Cross of Christ I glory	Wychbold	87.87.	General			
E41.Hymns	E41 Brightest and best of the sons of the morning (LIEBSTER IMMANUEL)	EH:English Hymnal	41	Brightest and best of the sons of the morning	Liebster Immanuel	11 10.11 10.	Epiphany			App. 9
E410.Hymns	E410 In the hour of my distress (HOLY COMFORT)	EH:English Hymnal	410	In the hour of my distress	Holy Comfort	77.76.	General			
E411.Hymns	E411 Jerusalem on high (CHRISTCHURCH (STEGGALL))	EH:English Hymnal	411	Jerusalem on high	Christchurch (Steggall)	66.66.88.	General			
E412.Hymns	E412 Jerusalem the golden (EWING)	EH:English Hymnal	412	Jerusalem the golden	Ewing	76.76.D.	General			
E413.Hymns	E413 Jesu, grant me this, I pray (SONG 13)	EH:English Hymnal	413	Jesu, grant me this, I pray	Song 13	77.77.	General			
E414.Hymns	E414 Jesu, Lover of my soul (HOLLINGSIDE OR ABERYSTWYTH 2E ONLY)	EH:English Hymnal	414	Jesu, Lover of my soul	Hollingside or Aberystwyth 2E only	77.77.D.	General			
E415.Hymns	E415 Jesu, meek and gentle (ST CONSTANTINE 1E OR BELSIZE 2E)	EH:English Hymnal	415	Jesu, meek and gentle	St Constantine 1E or Belsize 2E	65.65.	General			App. 53
E416.Hymns	E416 Jesu, meek and lowly (ST MARTIN)	EH:English Hymnal	416	Jesu, meek and lowly	St Martin	66.66.	General			
E417.Hymns	E417 Jesu, my Lord, my God, my All (STELLA 1E OR GESIUS (HEUT’ TRIUMPHIRET) 2E)	EH:English Hymnal	417	Jesu, my Lord, my God, my All	Stella 1E or Gesius (Heut’ triumphiret) 2E	88.88.88.	General			App. 19, 54
E418.Hymns	E418 Jesu, name all names above (WERDE MUNTER)	EH:English Hymnal	418	Jesu, name all names above	Werde munter	76.76.88.77.	General			
E419.Hymns	E419 Jesu, the very thought of thee (ST AGNES 1E / ST. BOTOLPH 2E OR KING’S NORTON (BOTH EDITIONS))	EH:English Hymnal	419	Jesu, the very thought of thee	St Agnes 1E / St. Botolph 2E or King’s Norton (both editions)	C.M.	General			App. 55
E42.Hymns	E42 O worship the Lord in the beauty of holiness! (WAS LEBET, WAS SCHWEBET)	EH:English Hymnal	42	O worship the Lord in the beauty of holiness!	Was lebet, was schwebet	13 10.13 10.	Epiphany			
E420.Hymns	E420 Jesus shall reign where’er the sun (TRURO [D MAJOR])	EH:English Hymnal	420	Jesus shall reign where’er the sun	Truro [D major]	L.M.	General			
E421.Hymns	E421 Jesus, these eyes have never seen (NUN DANKET)	EH:English Hymnal	421	Jesus, these eyes have never seen	Nun danket	C.M.	General			
E422.Hymns	E422 Jesus, where’er thy people meet (ST SEPULCHRE)	EH:English Hymnal	422	Jesus, where’er thy people meet	St Sepulchre	L.M.	General			
E423.Hymns	E423 Judge eternal, throned in splendour (RHUDDLAN)	EH:English Hymnal	423	Judge eternal, throned in splendour	Rhuddlan	87.87.87.	General			
E424.Hymns	E424 King of glory, King of peace (GWALCHMAI)	EH:English Hymnal	424	King of glory, King of peace	Gwalchmai	74.74.D.	General			
E425.Hymns	E425 Lead, kindly Light, amid the encircling gloom (LUX BENIGNA)	EH:English Hymnal	425	Lead, kindly Light, amid the encircling gloom	Lux benigna	10 4.10 4.10 10.	General			
E426.Hymns	E426 Lead us, heavenly Father, lead us (MANNHEIM)	EH:English Hymnal	426	Lead us, heavenly Father, lead us	Mannheim	87.87.87.	General			
E427.Hymns	E427 Let all the world in every corner sing (UNIVERSAL PRAISE 1E OR HIGH ROAD 2E)	EH:English Hymnal	427	Let all the world in every corner sing	Universal Praise 1E or High Road 2E	10 4.66.66.10 4.	General			App. 56
E428.Hymns	E428 Let saints on earth in concert sing (DUNDEE)	EH:English Hymnal	428	Let saints on earth in concert sing	Dundee	C.M.	General			
E429.Hymns	E429 ‘Lift up your hearts!’ We lift them, Lord, to thee (ALL SOULS 1E OR BIRMINGHAM 2E)	EH:English Hymnal	429	‘Lift up your hearts!’ We lift them, Lord, to thee	All Souls 1E or Birmingham 2E	10 10.10 10.	General			217, App. 57
E43.Hymns	E43 The race that long in darkness pined (DUNDEE (WITH ALT. HARM.))	EH:English Hymnal	43	The race that long in darkness pined	Dundee (with alt. harm.)	C.M.	Epiphany			
E430.Hymns	E430 Lighten the darkness of our life’s long night (SONG 24 1E OR ERFYNIAD 2E)	EH:English Hymnal	430	Lighten the darkness of our life’s long night	Song 24 1E or Erfyniad 2E	10 10.10 10.	General			
E431.Hymns	E431 Light’s abode, celestial Salem (REGENT SQUARE)	EH:English Hymnal	431	Light’s abode, celestial Salem	Regent Square	87.87.87.	General			
E432.Hymns	E432 Long did I toil, and knew no earthly rest (BATTLE)	EH:English Hymnal	432	Long did I toil, and knew no earthly rest	Battle	10 10.10 10.10 10.	General			
E433.Hymns	E433 Lord, it belongs not to my care (DIBDIN)	EH:English Hymnal	433	Lord, it belongs not to my care	Dibdin	C.M.	General			
E434.Hymns	E434 Lord of all being, throned afar (UFFINGHAM)	EH:English Hymnal	434	Lord of all being, throned afar	Uffingham	L.M.	General			
E435.Hymns	E435 Lord of our life, and God of our salvation (ISTE CONFESSOR (2))	EH:English Hymnal	435	Lord of our life, and God of our salvation	Iste confessor (2)	11 11.11 5.	General			
E436.Hymns	E436 Lord, thy word abideth (RAVENSHAW)	EH:English Hymnal	436	Lord, thy word abideth	Ravenshaw	66.66.	General			
E437.Hymns	E437 Love Divine, all loves excelling (MORIAH)	EH:English Hymnal	437	Love Divine, all loves excelling	Moriah	87.87.D.	General			
E438.Hymns	E438 Love of the Father, love of God the Son (SONG 22)	EH:English Hymnal	438	Love of the Father, love of God the Son	Song 22	10 10.10 10.	General			
E439.Hymns	E439 My faith looks up to thee (OLIVET 1E OR DENBIGH 2E)	EH:English Hymnal	439	My faith looks up to thee	Olivet 1E or Denbigh 2E	664.666.4.	General			App. 58
E44.Hymns	E44 What star is this, with beams so bright (EIN KIND GEBOR’N)	EH:English Hymnal	44	What star is this, with beams so bright	Ein kind gebor’n	L.M.	Epiphany			
E440.Hymns	E440 My God and Father, while I stray (TROYTE NO. 1 1E OR LAYRIZ (INS FELD GEH) 2E)	EH:English Hymnal	440	My God and Father, while I stray	Troyte No. 1 1E or Layriz (Ins feld geh) 2E	88.84.	General			App. 59
E441.Hymns	E441 My God, how wonderful thou art (WESTMINSTER)	EH:English Hymnal	441	My God, how wonderful thou art	Westminster	C.M.	General			
E442.Hymns	E442 My Lord, my Life, my Love (SONG 20)	EH:English Hymnal	442	My Lord, my Life, my Love	Song 20	S.M.	General			
E443.Hymns	E443 My spirit longs for thee (MARIA JUNG UND ZART)	EH:English Hymnal	443	My spirit longs for thee	Maria jung und zart	66.66.	General			
E444.Hymns	E444 Nearer, my God, to thee (HORBURY)	EH:English Hymnal	444	Nearer, my God, to thee	Horbury	64.64.664.	General			
E445.Hymns	E445 O for a closer walk with God (CAITHNESS OR STRACATHRO 2E ONLY)	EH:English Hymnal	445	O for a closer walk with God	Caithness or Stracathro 2E only	S.M.	General			
E446.Hymns	E446 O for a thousand tongues to sing (O GOD OF LOVE)	EH:English Hymnal	446	O for a thousand tongues to sing	O God of Love	C.M.	General			
E447.Hymns	E447 O God of Bethel, by whose hand (BURFORD)	EH:English Hymnal	447	O God of Bethel, by whose hand	Burford	C.M.	General			
E448.Hymns	E448 O God of mercy, God of might (FITZWILLIAM)	EH:English Hymnal	448	O God of mercy, God of might	Fitzwilliam	88.86.	General			
E449.Hymns	E449 O God of truth, whose living word (MARTYRS)	EH:English Hymnal	449	O God of truth, whose living word	Martyrs	C.M.	General			
E45.Hymns	E45 Hail to the Lord’s Anointed (CRÜGER)	EH:English Hymnal	45	Hail to the Lord’s Anointed	Crüger	76.76.D.	From Epiphany till Septuagesima			
E450.Hymns	E450 O God, our help in ages past (ST ANNE)	EH:English Hymnal	450	O God, our help in ages past	St Anne	C.M.	General			
E451.Hymns	E451 O God, thy power is wonderful (MELROSE)	EH:English Hymnal	451	O God, thy power is wonderful	Melrose	C.M.	General			
E452.Hymns	E452 O happy band of pilgrims (KNECHT)	EH:English Hymnal	452	O happy band of pilgrims	Knecht	76.76.	General			
E453.Hymns	E453 O Holy Spirit, Lord of grace (TALLIS’ ORDINAL (‘9TH TUNE’))	EH:English Hymnal	453	O Holy Spirit, Lord of grace	Tallis’ Ordinal (‘9th Tune’)	C.M.	General			
E454.Hymns	E454 O King enthroned on high (TEMPLE)	EH:English Hymnal	454	O King enthroned on high	Temple	66.84.	General			
E455.Hymns	E455 O let him whose sorrow (CLEWER)	EH:English Hymnal	455	O let him whose sorrow	Clewer	65.65.	General			
E456.Hymns	E456 O Lord and Master of us all (WALSALL 1E OR BLACKBOURNE 2E)	EH:English Hymnal	456	O Lord and Master of us all	Walsall 1E or Blackbourne 2E	C.M.	General			
E457.Hymns	E457 O Lord, how happy should we be (MAGDALEN COLLEGE)	EH:English Hymnal	457	O Lord, how happy should we be	Magdalen College	886.D.	General			
E458.Hymns	E458 O Lord of hosts, all heaven possessing (NEUMARK)	EH:English Hymnal	458	O Lord of hosts, all heaven possessing	Neumark	98.98.88.	General			
E459.Hymns	E459 O love, how deep, how broad, how high! (EISENACH)	EH:English Hymnal	459	O love, how deep, how broad, how high!	Eisenach	L.M.	General			
E46.Hymns	E46 In stature grows the heavenly Child (TALLIS’ ORDINAL (‘9TH TUNE’) 1E OR CORNHILL 2E)	EH:English Hymnal	46	In stature grows the heavenly Child	Tallis’ Ordinal (‘9th Tune’) 1E or Cornhill 2E	C.M.	From Epiphany till Septuagesima			
E460.Hymns	E460 O Lord, who formedst me to wear (CHRISTCHURCH (OUSELEY))	EH:English Hymnal	460	O Lord, who formedst me to wear	Christchurch (Ouseley)	88.88.88.	General			
E461.Hymns	E461 O praise our great and gracious Lord (OLD 81ST (OLD 77TH))	EH:English Hymnal	461	O praise our great and gracious Lord	Old 81st (Old 77th)	D.C.M.	General			
E462.Hymns	E462 O quickly come, dread Judge of all (VATER UNSER)	EH:English Hymnal	462	O quickly come, dread Judge of all	Vater unser	88.88.88.	General			
E463.Hymns	E463 O thou in all thy might so far (CROWLE)	EH:English Hymnal	463	O thou in all thy might so far	Crowle	C.M.	General			
E464.Hymns	E464 O thou not made with hands (OLD 120TH)	EH:English Hymnal	464	O thou not made with hands	Old 120th	66.66.66.	General			
E465.Hymns	E465 O what their joy and their glory must be (REGNATOR ORBIS)	EH:English Hymnal	465	O what their joy and their glory must be	Regnator orbis	10 10.10 10.	General			
E466.Hymns	E466 O worship the King all glorious above (HANOVER)	EH:English Hymnal	466	O worship the King all glorious above	Hanover	55.55.65.65.	General			
E467.Hymns	E467 Oft in danger, oft in woe (UNIVERSITY COLLEGE)	EH:English Hymnal	467	Oft in danger, oft in woe	University College	77.77.	General			
E468.Hymns	E468 Peace, perfect peace, in this dark world of sin? (SONG 46)	EH:English Hymnal	468	Peace, perfect peace, in this dark world of sin?	Song 46	10.10.	General			
E469.Hymns	E469 Pleasant are thy courts above (BENEVENTO)	EH:English Hymnal	469	Pleasant are thy courts above	Benevento	77.77.D.	General			App. 20
E47.Hymns	E47 Songs of thankfulness and praise (ST EDMUND)	EH:English Hymnal	47	Songs of thankfulness and praise	St Edmund	77.77.D.	From Epiphany till Septuagesima			
E470.Hymns	E470 Praise, my soul, the King of heaven (PRAISE MY SOUL)	EH:English Hymnal	470	Praise, my soul, the King of heaven	Praise my soul	87.87.87.	General			
E471.Hymns	E471 Praise to the Holiest in the height (RICHMOND)	EH:English Hymnal	471	Praise to the Holiest in the height	Richmond	C.M.	General			
E472.Hymns	E472 Pray that Jerusalem may have (YORK)	EH:English Hymnal	472	Pray that Jerusalem may have	York	C.M.	General			
E473.Hymns	E473 Pray when the morn is breaking (MEIRIONYDD)	EH:English Hymnal	473	Pray when the morn is breaking	Meirionydd	76.76.D.	General			
E474.Hymns	E474 Prayer is the soul’s sincere desire (WIGTON)	EH:English Hymnal	474	Prayer is the soul’s sincere desire	Wigton	C.M.	General			
E475.Hymns	E475 Rejoice, O land, in God thy might (WAREHAM)	EH:English Hymnal	475	Rejoice, O land, in God thy might	Wareham	L.M.	General			
E476.Hymns	E476 Rejoice, the Lord is King (GOPSAL)	EH:English Hymnal	476	Rejoice, the Lord is King	Gopsal	66.66.88.	General			
E477.Hymns	E477 Rock of ages, cleft for me (REDHEAD NO. 76)	EH:English Hymnal	477	Rock of ages, cleft for me	Redhead No. 76	77.77.77.	General			
E478.Hymns	E478 Sing praise to God who reigns above (NUN FREUT EUCH 1E OR WITTENBERG (ES IST DAS HEIL) 2E)	EH:English Hymnal	478	Sing praise to God who reigns above	Nun freut euch 1E or Wittenberg (Es ist das heil) 2E	87.87.887.	General			
E479.Hymns	E479 Soldiers of Christ, arise (ST ETHELWALD)	EH:English Hymnal	479	Soldiers of Christ, arise	St Ethelwald	S.M.	General			
E48.Hymns	E48 The Lord is come! On Syrian soil (CANTATE DOMINO)	EH:English Hymnal	48	The Lord is come! On Syrian soil	Cantate Domino	D.L.M.	From Epiphany till Septuagesima			
E480.Hymns	E480 Soldiers, who are Christ’s below (ORIENTIS PARTIBUS)	EH:English Hymnal	480	Soldiers, who are Christ’s below	Orientis partibus	77.77.	General			
E481.Hymns	E481 Songs of praise the Angels sang (CULBACH [E♭ MAJOR] 1E OR RILEY 2E)	EH:English Hymnal	481	Songs of praise the Angels sang	Culbach [E♭ major] 1E or Riley 2E	77.77.	General			
E482.Hymns	E482 Still will we trust, though earth seem dark and dreary (LANGA 1E OR STANSTEAD 2E)	EH:English Hymnal	482	Still will we trust, though earth seem dark and dreary	Langa 1E or Stanstead 2E	11 10.11.6.	General			App. 60
E483.Hymns	E483 Strong Son of God, immortal Love (SONG 5)	EH:English Hymnal	483	Strong Son of God, immortal Love	Song 5	L.M.	General			
E484.Hymns	E484 Take up thy cross, the Saviour said (BRESLAU [G MAJOR])	EH:English Hymnal	484	Take up thy cross, the Saviour said	Breslau [G major]	L.M.	General			
E485.Hymns	E485 Teach me, my God and King (SANDYS)	EH:English Hymnal	485	Teach me, my God and King	Sandys	S.M.	General			
E486.Hymns	E486 Ten thousand times ten thousand (KOMM, SEELE)	EH:English Hymnal	486	Ten thousand times ten thousand	Komm, seele	76.86.D.	General			
E487.Hymns	E487 That day of wrath, that dreadful day (BABYLON’S STREAMS)	EH:English Hymnal	487	That day of wrath, that dreadful day	Babylon’s Streams	L.M.	General			
E488.Hymns	E488 The Church of God a kingdom is (CAPEL)	EH:English Hymnal	488	The Church of God a kingdom is	Capel	C.M.	General			
E489.Hymns	E489 The Church’s one foundation (AURELIA [E♭ MAJOR])	EH:English Hymnal	489	The Church’s one foundation	Aurelia [E♭ major]	76.76.D.	General			
E49.Hymns	E49 Creator of the earth and sky (ST GREGORY (ZEUCH MEINEN GEIST))	EH:English Hymnal	49	Creator of the earth and sky	St Gregory (Zeuch meinen Geist)	L.M.	From the Octave of the Epiphany till Lent		P	
E490.Hymns	E490 The King of love my Shepherd is (ST COLUMBA)	EH:English Hymnal	490	The King of love my Shepherd is	St Columba	87.87.	General			
E491.Hymns	E491 The Lord my pasture shall prepare (SURREY)	EH:English Hymnal	491	The Lord my pasture shall prepare	Surrey	88.88.88.	General			
E492.Hymns	E492 The Lord will come and not be slow (ST STEPHEN 1E OR COLESHILL 2E)	EH:English Hymnal	492	The Lord will come and not be slow	St Stephen 1E or Coleshill 2E	C.M.	General			
E493.Hymns	E493 The roseate hues of early dawn (OLD 107TH)	EH:English Hymnal	493	The roseate hues of early dawn	Old 107th	D.C.M.	General			
E494.Hymns	E494 The strain upraise of joy and praise, Alleluya! (TROYTE NO. 2)	EH:English Hymnal	494	The strain upraise of joy and praise, Alleluya!	Troyte No. 2	Irreg.	General			
E495.Hymns	E495 The world is very evil (PEARSALL)	EH:English Hymnal	495	The world is very evil	Pearsall	76.76.D.	General			
E496.Hymns	E496 There is a blessèd home (7TH MODE MELODY)	EH:English Hymnal	496	There is a blessèd home	7th Mode Melody	66.66.D.	General			
E497.Hymns	E497 There is a book who runs may read (ST FLAVIAN 1E OR RELIEF 2E)	EH:English Hymnal	497	There is a book who runs may read	St Flavian 1E or Relief 2E	C.M.	General			
E498.Hymns	E498 There is a land of pure delight (MENDIP)	EH:English Hymnal	498	There is a land of pure delight	Mendip	C.M.	General			
E499.Hymns	E499 There’s a wideness in God’s mercy (ZUM FRIEDEN)	EH:English Hymnal	499	There’s a wideness in God’s mercy	Zum frieden	87.87.D.	General			
E5.Hymns	E5 Hark! a herald voice is calling: (MERTON)	EH:English Hymnal	5	Hark! a herald voice is calling:	Merton	87.87.	Advent			
E50.Hymns	E50 This day the first of days was made (ANDERNACH)	EH:English Hymnal	50	This day the first of days was made	Andernach	L.M.	From the Octave of the Epiphany till Lent		P	
E500.Hymns	E500 They whose course on earth is o’er (VIENNA)	EH:English Hymnal	500	They whose course on earth is o’er	Vienna	77.77.	General			
E501.Hymns	E501 Three in One, and One in Three (CAPETOWN)	EH:English Hymnal	501	Three in One, and One in Three	Capetown	77.75.	General			
E502.Hymns	E502 Through all the changing scenes of life (WILTSHIRE)	EH:English Hymnal	502	Through all the changing scenes of life	Wiltshire	C.M.	General			
E503.Hymns	E503 Through the night of doubt and sorrow (ST OSWALD 1E OR MARCHING 2E)	EH:English Hymnal	503	Through the night of doubt and sorrow	St Oswald 1E or Marching 2E	87.87.	General			App. 61
E504.Hymns	E504 Thy kingdom come! on bended knee (IRISH)	EH:English Hymnal	504	Thy kingdom come! on bended knee	Irish	C.M.	General			
E505.Hymns	E505 Thy way, not mine, O Lord (PSALM 32)	EH:English Hymnal	505	Thy way, not mine, O Lord	Psalm 32	66.66.	General			
E506.Hymns	E506 To Mercy, Pity, Peace, and Love (EPSOM)	EH:English Hymnal	506	To Mercy, Pity, Peace, and Love	Epsom	C.M.	General			
E507.Hymns	E507 To the name that brings salvation (ORIEL)	EH:English Hymnal	507	To the name that brings salvation	Oriel	87.87.87.	General			
E508.Hymns	E508 We love the place, O God (QUAM DILECTA)	EH:English Hymnal	508	We love the place, O God	Quam dilecta	66.66.	General			
