BookID	SeqNum	BookNames_de	BookNames_en	BookNames_es-AR	BookNames_es	BookNames_fi	BookNames_fr	BookNames_gr	BookNames_hr	BookNames_hu	BookNames_it	BookNames_la	BookNames_pl	BookNames_pt	BookNames_ro	BlankColumn
MAL	46	Das Buch Maleachi	Malachi	Malaquías	Malaquías	Malakia	Malachie	Malaquias	Malahija	Malakiás könyve	Malachia	Prophetia Malachiae	Księga Malachiasza	Malaquias	Cartea profetului Malahía	
MAT	47	Das Evangelium nach Matthäus	Matthew	Evangelio segun San Mateo	Mateo	Matteuksen evankeliumi	Matthieu	São Mateus	Evanðelje po Mateju	Máté evangéliuma	Vangelo secondo Matteo	Evangelium secundum Matthaeum	Ewangelia Mateusza	São Mateus	Evanghelia după sf. Matei	
MRK	48	Das Evangelium nach Markus	Mark	Evangelio segun San Marcos	Marcos	Markuksen evankeliumi	Marc	São Marcos	Evanðelje po Marku	Márk evangéliuma	Vangelo secondo Marco	Evangelium secundum Marcum	Ewangelia Marka	São Marcos	Evanghelia după sf. Marcu	
LUK	49	Das Evangelium nach Lukas	Luke	Evangelio segun San Lucas	Lucas	Luukaksen evankeliumi	Luc	São Lucas	Evanðelje po Luki	Lukács evangéliuma	Vangelo secondo Luca	Evangelium secundum Lucam	Ewangelia Łukasza	São Lucas	Evanghelia după sf. Luca	
JHN	50	Das Evangelium nach Johannes	John	Evangelio segun San Juan	Juan	Johanneksen evankeliumi	Jean	São João	Evanðelje po Ivanu	János evangéliuma	Vangelo secondo Giovanni	Evangelium secundum Ioannem	Ewangelia Jana	São João	Evanghelia după sf. Ioan	
ACT	51	Die Apostelgeschichte	Acts	Hecho de los Apóstoles	Hechos	Apostolien Teot	Actes des Apôtres	Atos dos Apóstolos	Djela apostolska	Apostolok Cselekedetei	Atti degli Apostoli	Actus Apostolorum	Dzieje Apostolskie	Atos dos Apóstolos	Faptele Apostolilor	
ROM	52	Der Brief an die Römer	Romans	Carta a los Romanos	Romanos	Roomalaisille	Romains	Romanos	Poslanica Rimljanima	Rómaiaknak írt levél	Romani	Epistula ad Romanos	List do Rzymian	Romanos	Scrisoarea sf. apostol Paul către Románi	
1CO	53	Der erste Brief an die Korinther	1 Corinthians	1º Carta a los Corintios	I Corintios	1.Korinttolaisille	1 Corinthiens	I Coríntios	Prva poslanica Korinæanima	Korintusiaknak írt I. levél	Corinzi 1	Epistula I ad Corinthios	1 List do Koryntian	I Coríntios	Scrisoarea întâi a sf. apostol Paul către Corinténi	
2CO	54	Der zweite Brief an die Korinther	2 Corinthians	2º Carta a los Corintios	II Corintios	2.Korinttolaisille	2 Corinthiens	II Coríntios	Druga poslanica Korinæanima	Korintusiaknak írt II. levél	Corinzi 2	Epistula II ad Corinthios	2 List do Koryntian	II Coríntios	Scrisoarea a doua a sf. apostol Paul către Corinténi	
GAL	55	Der Brief an die Galater	Galatians	Carta a los Gálatas	Gálatas	Galatalaisille	Galates	Gálatas	Poslanica Galaæanima	Galatáknak írt levél	Gàlati	Epistula ad Galatas	List do Galatów	Gálatas	Scrisoarea sf. apostol Paul către Galaténi	
