Date	DOW	Rite	PropersID_Selected	PropersID_Alt	PropersID_Default	PropersID_Option1	PropersID_Option2	PropersID_Option3	PropersID_Option4	BlankColumn
2029-03-31	Sat	NOE	Holy Saturday		Holy Saturday	
2029-04-01	Sun	NOE	RESURRECTION OF THE LORD		RESURRECTION OF THE LORD	
2029-04-02	Mon	NOE	Easter Octave:Mon		Easter Octave:Mon	
2029-04-03	Tue	NOE	Easter Octave:Tue		Easter Octave:Tue	
2029-04-04	Wed	NOE	Easter Octave:Wed		Easter Octave:Wed	
2029-04-05	Thu	NOE	Easter Octave:Thu		Easter Octave:Thu	
2029-04-06	Fri	NOE	Easter Octave:Fri		Easter Octave:Fri	
2029-04-07	Sat	NOE	Easter Octave:Sat		Easter Octave:Sat	
2029-04-08	Sun	NOE	EASTER II		EASTER II	
2029-04-09	Mon	NOE	Annunciation of the Lord		Annunciation of the Lord	
2029-04-10	Tue	NOE	Eastertide II:Tue		Eastertide II:Tue	
2029-04-11	Wed	NOE	St Stanislaus, Bishop, Martyr		St Stanislaus, Bishop, Martyr	
2029-04-12	Thu	NOE	Eastertide II:Thu		Eastertide II:Thu	
2029-04-13	Fri	NOE	Eastertide II:Fri		Eastertide II:Fri	St Martin I, Pope, Martyr	
2029-04-14	Sat	NOE	Eastertide II:Sat		Eastertide II:Sat	
2029-04-15	Sun	NOE	EASTER III		EASTER III	
2029-04-16	Mon	NOE	Eastertide III:Mon		Eastertide III:Mon	
2029-04-17	Tue	NOE	Eastertide III:Tue		Eastertide III:Tue	
2029-04-18	Wed	NOE	Eastertide III:Wed		Eastertide III:Wed	
2029-04-19	Thu	NOE	Eastertide III:Thu		Eastertide III:Thu	
2029-04-20	Fri	NOE	Eastertide III:Fri		Eastertide III:Fri	
2029-04-21	Sat	NOE	Eastertide III:Sat		Eastertide III:Sat	St Anselm of Canterbury, Bishop, Doctor	
2029-04-22	Sun	NOE	EASTER IV		EASTER IV	
2029-04-23	Mon	NOE	St George, England Patron, Martyr		St George, England Patron, Martyr	
2029-04-24	Tue	NOE	Eastertide IV:Tue		Eastertide IV:Tue	St Fidelis of Sigmaringen, Priest, Martyr	St Adalbert of Prague, Bishop, Martyr	
2029-04-25	Wed	NOE	St Mark, Evangelist		St Mark, Evangelist	
2029-04-26	Thu	NOE	Eastertide IV:Thu		Eastertide IV:Thu	
2029-04-27	Fri	NOE	Eastertide IV:Fri		Eastertide IV:Fri	
2029-04-28	Sat	NOE	Eastertide IV:Sat		Eastertide IV:Sat	St Peter Chanel, Priest, Martyr	St Louis Grignion de Montfort, Priest	
2029-04-29	Sun	NOE	EASTER V		EASTER V	
2029-04-30	Mon	NOE	Eastertide V:Mon		Eastertide V:Mon	St Pius V, Pope	
2029-05-01	Tue	NOE	Eastertide V:Tue		Eastertide V:Tue	St Joseph the Worker	
2029-05-02	Wed	NOE	St Athanasius, Bishop, Doctor		St Athanasius, Bishop, Doctor	
2029-05-03	Thu	NOE	Ss Philip & James the Less, Apostles		Ss Philip & James the Less, Apostles	
2029-05-04	Fri	NOE	English Martyrs		English Martyrs	
2029-05-05	Sat	NOE	Eastertide V:Sat		Eastertide V:Sat	
2029-05-06	Sun	NOE	EASTER VI		EASTER VI	
2029-05-07	Mon	NOE	Eastertide VI:Mon		Eastertide VI:Mon	
2029-05-08	Tue	NOE	Eastertide VI:Tue		Eastertide VI:Tue	
2029-05-09	Wed	NOE	Eastertide VI:Wed		Eastertide VI:Wed	
2029-05-10	Thu	NOE	ASCENSION OF THE LORD		ASCENSION OF THE LORD	
2029-05-11	Fri	NOE	Eastertide VI:Fri		Eastertide VI:Fri	
2029-05-12	Sat	NOE	Ascensiontide I:Sat		Ascensiontide I:Sat	
2029-05-13	Sun	NOE	EASTER VII		EASTER VII	
2029-05-14	Mon	NOE	St Matthias, Apostle		St Matthias, Apostle	
2029-05-15	Tue	NOE	St John Baptist de La Salle, Catholic Education Co-Patron, Priest, Religious, Founder, Confessor		St John Baptist de La Salle, Catholic Education Co-Patron, Priest, Religious, Founder, Confessor	Eastertide VII:Tue	
2029-05-16	Wed	NOE	Eastertide VII:Wed		Eastertide VII:Wed	
2029-05-17	Thu	NOE	Ascensiontide II:Thu		Ascensiontide II:Thu	
2029-05-18	Fri	NOE	Ascensiontide II:Fri		Ascensiontide II:Fri	
2029-05-19	Sat	NOE	Dedication of the Cathedral		Dedication of the Cathedral	
2029-05-20	Sun	NOE	PENTECOST SUNDAY		PENTECOST SUNDAY	
2029-05-21	Mon	NOE	Pentecost Octave:Mon		Pentecost Octave:Mon	
2029-05-22	Tue	NOE	Ord Time VII:Tue		Ord Time VII:Tue	St Rita of Cascia, Religious	
2029-05-23	Wed	NOE	Ord Time VII:Wed		Ord Time VII:Wed	
2029-05-24	Thu	NOE	Pentecost Octave:Thu		Pentecost Octave:Thu	
2029-05-25	Fri	NOE	St Bede the Venerable, Priest, Doctor		St Bede the Venerable, Priest, Doctor	
2029-05-26	Sat	NOE	St Philip Neri, Founder, Priest		St Philip Neri, Founder, Priest	
2029-05-27	Sun	NOE	TRINITY SUNDAY		TRINITY SUNDAY	
2029-05-28	Mon	NOE	Ord Time VIII:Mon		Ord Time VIII:Mon	
2029-05-29	Tue	NOE	Ord Time VIII:Tue		Ord Time VIII:Tue	St Paul VI, Pope	
2029-05-30	Wed	NOE	Ord Time VIII:Wed		Ord Time VIII:Wed	
2029-05-31	Thu	NOE	Visitation of our Lady		Visitation of our Lady	
2029-06-01	Fri	NOE	St Justin, Martyr		St Justin, Martyr	
2029-06-02	Sat	NOE	Ord Time VIII:Sat		Ord Time VIII:Sat	Ss Marcellinus & Peter, Martyrs	Saturday memorial of our Lady	
2029-06-03	Sun	NOE	CORPUS CHRISTI		CORPUS CHRISTI	
2029-06-04	Mon	NOE	Ord Time IX:Mon		Ord Time IX:Mon	
2029-06-05	Tue	NOE	St Boniface, Bishop, Martyr		St Boniface, Bishop, Martyr	
2029-06-06	Wed	NOE	Ord Time IX:Wed		Ord Time IX:Wed	St Norbert, Founder, Bishop	
2029-06-07	Thu	NOE	Ord Time IX:Thu		Ord Time IX:Thu	
2029-06-08	Fri	NOE	Most Sacred Heart of Jesus		Most Sacred Heart of Jesus	
2029-06-09	Sat	NOE	Immaculate Heart of Mary		Immaculate Heart of Mary	
2029-06-10	Sun	NOE	ORDINARY TIME X		ORDINARY TIME X	
2029-06-11	Mon	NOE	St Barnabas, Apostle		St Barnabas, Apostle	
2029-06-12	Tue	NOE	Ord Time X:Tue		Ord Time X:Tue	
2029-06-13	Wed	NOE	St Anthony of Padua, Priest, Doctor		St Anthony of Padua, Priest, Doctor	
2029-06-14	Thu	NOE	Ord Time X:Thu		Ord Time X:Thu	
2029-06-15	Fri	NOE	Ord Time X:Fri		Ord Time X:Fri	
2029-06-16	Sat	NOE	Ord Time X:Sat		Ord Time X:Sat	St Richard of Chichester, Bishop	Saturday memorial of our Lady	
2029-06-17	Sun	NOE	ORDINARY TIME XI		ORDINARY TIME XI	
2029-06-18	Mon	NOE	Ord Time XI:Mon		Ord Time XI:Mon	
2029-06-19	Tue	NOE	Ord Time XI:Tue		Ord Time XI:Tue	St Romuald, Abbot	
2029-06-20	Wed	NOE	Ord Time XI:Wed		Ord Time XI:Wed	St Alban, Britain Proto-Martyr	
2029-06-21	Thu	NOE	St Aloysius Gonzaga, Religious		St Aloysius Gonzaga, Religious	
2029-06-22	Fri	NOE	Ss John Fisher, Bishop, & Thomas More, Martyrs		Ss John Fisher, Bishop, & Thomas More, Martyrs	
2029-06-23	Sat	NOE	Ord Time XI:Sat		Ord Time XI:Sat	St Etheldreda, Abbess	Saturday memorial of our Lady	
2029-06-24	Sun	NOE	Nativity of St John the Baptist		Nativity of St John the Baptist	
2029-06-25	Mon	NOE	Ord Time XII:Mon		Ord Time XII:Mon	
2029-06-26	Tue	NOE	Ord Time XII:Tue		Ord Time XII:Tue	
2029-06-27	Wed	NOE	Ord Time XII:Wed		Ord Time XII:Wed	St Cyril of Alexandria, Bishop, Doctor	
2029-06-28	Thu	NOE	St Irenaeus of Lyons, Bishop, Doctor, Martyr		St Irenaeus of Lyons, Bishop, Doctor, Martyr	
2029-06-29	Fri	NOE	SS PETER & PAUL, APOSTLES		SS PETER & PAUL, APOSTLES	
2029-06-30	Sat	NOE	Ord Time XII:Sat		Ord Time XII:Sat	First Martyrs of the See of Rome	Saturday memorial of our Lady	
2029-07-01	Sun	NOE	ORDINARY TIME XIII		ORDINARY TIME XIII	
2029-07-02	Mon	NOE	Ord Time XIII:Mon		Ord Time XIII:Mon	
2029-07-03	Tue	NOE	St Thomas, Apostle		St Thomas, Apostle	
2029-07-04	Wed	NOE	Ord Time XIII:Wed		Ord Time XIII:Wed	St Elizabeth of Portugal, Queen, Widow	
2029-07-05	Thu	NOE	Ord Time XIII:Thu		Ord Time XIII:Thu	St Anthony Mary Zaccaria, Priest	
2029-07-06	Fri	NOE	Ord Time XIII:Fri		Ord Time XIII:Fri	St Maria Goretti, Virgin, Martyr	
2029-07-07	Sat	NOE	Ord Time XIII:Sat		Ord Time XIII:Sat	Saturday memorial of our Lady	
2029-07-08	Sun	NOE	ORDINARY TIME XIV		ORDINARY TIME XIV	
2029-07-09	Mon	NOE	Ord Time XIV:Mon		Ord Time XIV:Mon	Ss Augustine Zhao Rong & Companions, Martyrs	
2029-07-10	Tue	NOE	Ord Time XIV:Tue		Ord Time XIV:Tue	
2029-07-11	Wed	NOE	St Benedict of Nursia, Europe Patron, Founder, Abbot		St Benedict of Nursia, Europe Patron, Founder, Abbot	
2029-07-12	Thu	NOE	Ord Time XIV:Thu		Ord Time XIV:Thu	
2029-07-13	Fri	NOE	Ord Time XIV:Fri		Ord Time XIV:Fri	St Henry of Bavaria, Holy Roman Emperor	
2029-07-14	Sat	NOE	Ord Time XIV:Sat		Ord Time XIV:Sat	St Camillus of Lellis, Priest	Saturday memorial of our Lady	
2029-07-15	Sun	NOE	ORDINARY TIME XV		ORDINARY TIME XV	
2029-07-16	Mon	NOE	Ord Time XV:Mon		Ord Time XV:Mon	Our Lady of Mount Carmel	
2029-07-17	Tue	NOE	St Bonaventure, Bishop, Doctor		St Bonaventure, Bishop, Doctor	
2029-07-18	Wed	NOE	Ord Time XV:Wed		Ord Time XV:Wed	
2029-07-19	Thu	NOE	Ord Time XV:Thu		Ord Time XV:Thu	
2029-07-20	Fri	NOE	Ord Time XV:Fri		Ord Time XV:Fri	St Apollinaris, Bishop, Martyr	
2029-07-21	Sat	NOE	Ord Time XV:Sat		Ord Time XV:Sat	St Laurence of Brindisi, Priest, Doctor	Saturday memorial of our Lady	
2029-07-22	Sun	NOE	ORDINARY TIME XVI		ORDINARY TIME XVI	
2029-07-23	Mon	NOE	St Bridget of Sweden, Europe Co-Patron		St Bridget of Sweden, Europe Co-Patron	
2029-07-24	Tue	NOE	Ord Time XVI:Tue		Ord Time XVI:Tue	St Charbel Makhlouf, Priest	
2029-07-25	Wed	NOE	St James the Great, Spain Patron, Apostle		St James the Great, Spain Patron, Apostle	
2029-07-26	Thu	NOE	St Joachim & Saint Anne, Parents of our Lady		St Joachim & Saint Anne, Parents of our Lady	
2029-07-27	Fri	NOE	Ord Time XVI:Fri		Ord Time XVI:Fri	
2029-07-28	Sat	NOE	Ord Time XVI:Sat		Ord Time XVI:Sat	Saturday memorial of our Lady	
2029-07-29	Sun	NOE	ORDINARY TIME XVII		ORDINARY TIME XVII	
2029-07-30	Mon	NOE	Ord Time XVII:Mon		Ord Time XVII:Mon	St Peter Chrysologus, Bishop, Doctor	
2029-07-31	Tue	NOE	St Ignatius of Loyola, Founder, Priest		St Ignatius of Loyola, Founder, Priest	
2029-08-01	Wed	NOE	St Alphonsus Liguori, Bishop, Doctor		St Alphonsus Liguori, Bishop, Doctor	
2029-08-02	Thu	NOE	Ord Time XVII:Thu		Ord Time XVII:Thu	St Eusebius of Vercelli, Bishop	St Peter Julian Eymard, Priest	
2029-08-03	Fri	NOE	Ord Time XVII:Fri		Ord Time XVII:Fri	
