PropersIDs	
Common BVM In Ordinary Time	
Common BVM In Ordinary Time 2	
Common BVM In Ordinary Time 3	
Common BVM In Ordinary Time 4	
Common BVM In Ordinary Time 5	
Common BVM In Ordinary Time 6	
Common BVM In Ordinary Time 7	
Common BVM In Ordinary Time 8	
Common BVM (VOE)	
Common Confessors For a Bishop 2 (VOE)	
Common Confessors For a Bishop (VOE)	
Common Confessors For a Missionary (VOE)	
Common Confessors For a Pope (VOE)	
Common Confessors For a Priest 2 (VOE)	
Common Confessors For a Priest (VOE)	
Common Dedication In the Church that was Dedicated	
Common Dedication On the Anniversary of the Dedication 2 (VOE)	
Common Dedication On the Anniversary of the Dedication (VOE)	
Common Dedication On the Day of the Dedication (VOE)	
Common Dedication Outside the Church that was Dedicated	
Common Doctors	
Common Doctors 2	
Common Doctors (VOE)	
Common For One Virgin 2 (VOE)	
Common For One Virgin (NOE)	
Common Holy Men and Women For a Monk	
Common Holy Men and Women For an Abbot	
Common Holy Men and Women For an Abbot or Abbess 2 (VOE)	
Common Holy Men and Women For an Abbot or Abbess (VOE)	
Common Holy Men and Women For an Educator 2 (VOE)	
Common Holy Men and Women For an Educator (VOE)	
Common Holy Men and Women For a Nun	
Common Holy Men and Women For Educators	
Common Holy Men and Women For Holy Women	
Common Holy Men and Women For Holy Women 2	
Common Holy Men and Women For Holy Women 2 (VOE)	
Common Holy Men and Women For Holy Women (VOE)	
Common Holy Men and Women For One Saint	
Common Holy Men and Women For One Saint 2	
Common Holy Men and Women For One Saint 2 (VOE)	
Common Holy Men and Women For One Saint (VOE)	
Common Holy Men and Women For Religious	
Common Holy Men and Women For Religious 2	
Common Holy Men and Women For Religious (VOE)	
Common Holy Men and Women For Several Saints	
Common Holy Men and Women For Several Saints 2	
Common Holy Men and Women For Several Saints 3	
Common Holy Men and Women For Several Saints 4	
Common Holy Men and Women For Those Who Practiced Works of Mercy	
Common Martyrs For a Bishop (VOE)	
Common Martyrs For a Holy Woman Martyr	
Common Martyrs For a Pope (VOE)	
Common Martyrs For a Virgin Martyr	
Common Martyrs For a Virgin Martyr (VOE)	
Common Martyrs For One Martyr During Eastertide (VOE)	
Common Martyrs For One Martyr In Eastertide	
Common Martyrs For One Martyr Outside Eastertide	
Common Martyrs For One Martyr Outside Eastertide 2	
Common Martyrs For One Martyr Outside Eastertide 2 (VOE)	
Common Martyrs For One Martyr Outside Eastertide (VOE)	
Common Martyrs For One Missionary Martyr	
Common Martyrs For Several Martyrs During Eastertide 2 (VOE)	
Common Martyrs For Several Martyrs During Eastertide 3 (VOE)	
Common Martyrs For Several Martyrs During Eastertide (VOE)	
Common Martyrs For Several Martyrs In Eastertide	
Common Martyrs For Several Martyrs In Eastertide 2	
Common Martyrs For Several Martyrs Outside Eastertide	
Common Martyrs For Several Martyrs Outside Eastertide 2	
Common Martyrs For Several Martyrs Outside Eastertide 3	
Common Martyrs For Several Martyrs Outside Eastertide 4	
Common Martyrs For Several Martyrs Outside Eastertide 5	
Common Martyrs For Several Missionary Martyrs	
Common Pastors For a Bishop	
Common Pastors For a Bishop 2	
Common Pastors For a Bishop 3	
Common Pastors For a Bishop 4	
Common Pastors For a Pope	
Common Pastors For a Pope 2	
Common Pastors For Missionaries	
Common Pastors For Missionaries 2	
Common Pastors For Missionaries 3	
Common Pastors For One Founder	
Common Pastors For One Pastor	
Common Pastors For One Pastor 2	
Common Pastors For Several Founders	
Common Pastors For Several Pastors	
Common Virgins For One Virgin	
Common Virgins For One Virgin 2	
Common Virgins For One Virgin 3	
Common Virgins For Several Virgins	
Conversion of St Paul, Apostle	
CORPUS CHRISTI	
Dedicatio Archibasilicae Sancti Ioannis Lateranensis	
Dedication of the Archbasilica of St John Lateran	
Dedication of the Basilica of St Mary Major	
Dedication of the Basilicas of Ss Peter & Paul, Apostles	
Dedication of the Lateran Basilica	
Dominica I Adventus	
Dominica II Adventus	
Dominica III Adventus (Gaudéte)	
Dominica III in Quadragesima	
Dominica II in Quadragesima	
Dominica III Post Epiphaniam	
Dominica III Post Pascha	
Dominica III Post Pentecosten	
Dominica I in Quadragesima	
Dominica II Passionis seu in Palmis	
Dominica II post Epiphaniam	
Dominica II Post Pascha	
Dominica II Post Pentecosten	
Dominica in Albis in Octava Paschæ	
Dominica Infra Octavam Nativitatis	
Dominica in Quinquagesima	
Dominica in Septuagesima	
Dominica in Sexagesima	
Dominica I Passionis	
Dominica IV Adventus (Roráte)	
Dominica IV in Quadragesima	
Dominica IV Post Epiphaniam	
Dominica IV Post Pascha	
Dominica IV Post Pentecosten	
Dominica IX Post Pentecosten	
Dominica Pentecostes	
Dominica post Ascensionem	
Dominica Resurrectionis	
Dominica Sanctissimæ Trinitatis	
Dominica Ultima Post Pentecosten	
Dominica VIII Post Pentecosten	
Dominica VII Post Pentecosten	
Dominica VI Post Epiphaniam	
Dominica VI Post Pentecosten	
Dominica V Post Epiphaniam	
Dominica V Post Pascha	
Dominica V Post Pentecosten	
Dominica XIII Post Pentecosten	
Dominica XII Post Pentecosten	
Dominica XI Post Pentecosten	
Dominica XIV Post Pentecosten	
Dominica XIX Post Pentecosten	
Dominica X Post Pentecosten	
Dominica XVIII Post Pentecosten	
Dominica XVII Post Pentecosten	
Dominica XVI Post Pentecosten	
Dominica XV Post Pentecosten	
Dominica XXIII Post Pentecosten	
Dominica XXII Post Pentecosten	
Dominica XXI Post Pentecosten	
Dominica XXIV Post Pentecosten	
Dominica XX Post Pentecosten	
Dominica XXVII Post Pentecosten	
Dominica XXVI Post Pentecosten	
Dominica XXV Post Pentecosten	
Domini Nostri Jesu Christi Regis	
EASTER II	
EASTER III	
EASTER IV	
Easter Octave:Fri	
Easter Octave:Mon	
Easter Octave:Sat	
Easter Octave:Thu	
Easter Octave:Tue	
Easter Octave:Wed	
Eastertide II:Fri	
Eastertide III:Fri	
Eastertide III:Mon	
Eastertide III:Sat	
Eastertide III:Thu	
Eastertide III:Tue	
Eastertide III:Wed	
Eastertide II:Mon	
Eastertide II:Sat	
Eastertide II:Thu	
Eastertide II:Tue	
Eastertide II:Wed	
Eastertide IV:Fri	
Eastertide IV:Mon	
Eastertide IV:Sat	
Eastertide IV:Thu	
Eastertide IV:Tue	
Eastertide IV:Wed	
Eastertide V:Fri	
Eastertide VI:Fri	
Eastertide VII:Sat	
Eastertide VII:Wed	
Eastertide VI:Mon	
Eastertide VI:Sat	
Eastertide VI:Tue	
Eastertide VI:Wed	
Eastertide V:Mon	
Eastertide V:Sat	
Eastertide V:Thu	
Eastertide V:Tue	
Eastertide V:Wed	
EASTER V	
EASTER VI	
EASTER VIGIL	
EASTER VII	
Ember Days II	
Ember Days III	
English Martyrs	
EPIPHANY II	
EPIPHANY III	
EPIPHANY IV	
Epiphany Octave:Fri	
Epiphany Octave:Mon	
Epiphany Octave:Sat	
Epiphany Octave:Thu	
Epiphany Octave:Tue	
Epiphany Octave:Wed	
EPIPHANY OF THE LORD	
EPIPHANY OF THE LORD:VIGIL	
Epiphanytide:Fri	
Epiphanytide I:Fri	
Epiphanytide II:Fri	
Epiphanytide III:Fri	
Epiphanytide III:Mon	
Epiphanytide III:Sat	
Epiphanytide III:Thu	
Epiphanytide III:Tue	
Epiphanytide III:Wed	
Epiphanytide II:Mon	
Epiphanytide II:Thu	
Epiphanytide II:Tue	
Epiphanytide II:Wed	
Epiphanytide I:Mon	
Epiphanytide I:Sat	
Epiphanytide I:Thu	
Epiphanytide I:Tue	
Epiphanytide IV:Fri	
Epiphanytide IV:Mon	
Epiphanytide IV:Sat	
Epiphanytide IV:Tue	
Epiphanytide I:Wed	
Epiphanytide:Mon	
Epiphanytide:Thu	
Epiphanytide:Tue	
Epiphanytide V:Sat	
Epiphanytide V:Thu	
Epiphanytide V:Tue	
Epiphanytide V:Wed	
Epiphanytide:Wed	
EPIPHANY V	
EPIPHANY VI	
Exaltation of the Holy Cross	
Exaltatio Sanctae Crucis	
First Martyrs of the See of Rome	
Friday after Ash Wednesday	
Holy Apostles	
HOLY FAMILY	
Holy Guardian Angels	
Holy Innocents, Martyrs	
Holy Saturday	
Holy Week:Mon	
Holy Week:Sat	
Holy Week:Tue	
Holy Week:Wed	
Immaculate Conception of our Lady	
Immaculate Heart of Mary	
In Ascensione Domini	
In Assumptione Beatæ Mariæ Virginis	
Independence Day	
In Epiphania Domini	
In Nativitate Domini	
KINGSHIP OF OUR LORD JESUS CHRIST	
Lent Ember Friday	
Lent Ember Saturday	
Lent Ember Wednesday	
LENT I	
Lent I:Fri	
LENT II	
Lent II:Fri	
LENT III	
Lent III:Fri	
Lent III:Mon	
Lent III:Sat	
Lent III:Thu	
Lent III:Tue	
Lent III:Wed	
Lent II:Mon	
Lent II:Sat	
Lent II:Thu	
Lent II:Tue	
Lent II:Wed	
Lent I:Mon	
Lent I:Sat	
Lent I:Thu	
Lent I:Tue	
LENT IV	
Lent IV:Fri	
Lent IV:Mon	
Lent IV:Sat	
Lent IV:Thu	
Lent IV:Tue	
Lent IV:Wed	
Lent I:Wed	
LENT V	
Lent V:Fri	
Lent V:Mon	
Lent V:Sat	
Lent V:Thu	
Lent V:Tue	
Lent V:Wed	
LOW SUNDAY	
Mary, Mother of God	
Mass of the Lord's Supper	
Mass of the Presanctified	
Most Holy Name of Jesus	
MOST HOLY NAME OF JESUS	
Most Holy Name of Mary	
Most Sacred Heart of Jesus	
Nativity of our Lady	
Nativity of St John the Baptist	
Nativity of St John the Baptist:Vigil	
NATIVITY OF THE LORD	
NATIVITY OF THE LORD:DAWN	
NATIVITY OF THE LORD:MIDNIGHT	
NATIVITY OF THE LORD:VIGIL	
Omnium Sanctorum	
ORDINARY TIME II	
ORDINARY TIME III	
ORDINARY TIME IV	
ORDINARY TIME IX	
ORDINARY TIME V	
ORDINARY TIME VI	
ORDINARY TIME VII	
ORDINARY TIME VIII	
ORDINARY TIME X	
ORDINARY TIME XI	
ORDINARY TIME XII	
ORDINARY TIME XIII	
ORDINARY TIME XIV	
ORDINARY TIME XIX	
ORDINARY TIME XV	
ORDINARY TIME XVI	
ORDINARY TIME XVII	
ORDINARY TIME XVIII	
ORDINARY TIME XX	
ORDINARY TIME XXI	
ORDINARY TIME XXII	
ORDINARY TIME XXIII	
ORDINARY TIME XXIV	
ORDINARY TIME XXIX	
ORDINARY TIME XXV	
ORDINARY TIME XXVI	
ORDINARY TIME XXVII	
ORDINARY TIME XXVIII	
ORDINARY TIME XXX	
ORDINARY TIME XXXI	
ORDINARY TIME XXXII	
ORDINARY TIME XXXIII	
Ord Time I:Fri	
Ord Time II:Fri	
Ord Time III:Fri	
Ord Time III:Mon	
Ord Time III:Sat	
Ord Time III:Thu	
Ord Time III:Tue	
Ord Time III:Wed	
Ord Time II:Mon	
Ord Time II:Thu	
Ord Time II:Tue	
Ord Time II:Wed	
Ord Time I:Mon	
Ord Time I:Sat	
Ord Time I:Thu	
Ord Time I:Tue	
Ord Time IV:Fri	
Ord Time IV:Mon	
Ord Time IV:Sat	
Ord Time IV:Tue	
Ord Time IV:Wed	
Ord Time I:Wed	
Ord Time IX:Sat	
Ord Time IX:Thu	
Ord Time IX:Tue	
Ord Time V:Fri	
Ord Time VI:Fri	
Ord Time VII:Fri	
Ord Time VIII:Fri	
Ord Time VIII:Mon	
Ord Time VIII:Sat	
Ord Time VIII:Tue	
Ord Time VII:Mon	
Ord Time VII:Thu	
Ord Time VII:Tue	
Ord Time VII:Wed	
Ord Time VI:Mon	
Ord Time VI:Thu	
Ord Time VI:Tue	
Ord Time VI:Wed	
Ord Time V:Mon	
Ord Time V:Sat	
Ord Time V:Thu	
Ord Time V:Tue	
Ord Time V:Wed	
Ord Time XI:Fri	
Ord Time XII:Fri	
Ord Time XIII:Fri	
Ord Time XIII:Mon	
Ord Time XIII:Sat	
Ord Time XIII:Thu	
Ord Time XIII:Tue	
Ord Time XIII:Wed	
Ord Time XII:Mon	
Ord Time XII:Sat	
Ord Time XII:Thu	
Ord Time XII:Tue	
Ord Time XII:Wed	
Ord Time XI:Mon	
Ord Time XI:Sat	
Ord Time XI:Thu	
Ord Time XI:Tue	
Ord Time XIV:Fri	
Ord Time XIV:Mon	
Ord Time XIV:Sat	
Ord Time XIV:Thu	
Ord Time XIV:Tue	
Ord Time XIV:Wed	
Ord Time XI:Wed	
Ord Time XIX:Sat	
Ord Time XIX:Thu	
Ord Time XIX:Tue	
Ord Time XIX:Wed	
Ord Time X:Mon	
Ord Time X:Sat	
Ord Time X:Tue	
Ord Time XV:Fri	
Ord Time XVI:Fri	
Ord Time XVIII:Fri	
Ord Time XVIII:Mon	
Ord Time XVIII:Thu	
Ord Time XVIII:Tue	
Ord Time XVIII:Wed	
Ord Time XVII:Mon	
Ord Time XVII:Sat	
Ord Time XVII:Thu	
Ord Time XVII:Tue	
Ord Time XVII:Wed	
Ord Time XVI:Mon	
Ord Time XVI:Thu	
Ord Time XVI:Tue	
Ord Time XV:Mon	
Ord Time XV:Sat	
Ord Time XV:Thu	
Ord Time XV:Tue	
Ord Time XV:Wed	
Ord Time X:Wed	
Ord Time XXII:Fri	
Ord Time XXIII:Fri	
Ord Time XXIII:Mon	
Ord Time XXIII:Sat	
Ord Time XXIII:Thu	
Ord Time XXIII:Tue	
Ord Time XXIII:Wed	
Ord Time XXII:Mon	
Ord Time XXII:Sat	
Ord Time XXII:Thu	
Ord Time XXII:Tue	
Ord Time XXII:Wed	
Ord Time XXI:Mon	
Ord Time XXI:Sat	
Ord Time XXI:Tue	
Ord Time XXIV:Fri	
Ord Time XXIV:Sat	
Ord Time XXIV:Thu	
Ord Time XXIV:Wed	
Ord Time XXI:Wed	
Ord Time XXIX:Fri	
Ord Time XXIX:Mon	
Ord Time XXIX:Sat	
Ord Time XXIX:Thu	
Ord Time XXIX:Tue	
Ord Time XXIX:Wed	
Ord Time XX:Mon	
Ord Time XX:Sat	
Ord Time XX:Tue	
Ord Time XXV:Fri	
Ord Time XXVI:Fri	
Ord Time XXVII:Fri	
Ord Time XXVIII:Fri	
Ord Time XXVIII:Mon	
Ord Time XXVIII:Thu	
Ord Time XXVIII:Tue	
Ord Time XXVIII:Wed	
Ord Time XXVII:Mon	
Ord Time XXVII:Sat	
Ord Time XXVII:Thu	
Ord Time XXVII:Tue	
Ord Time XXVII:Wed	
Ord Time XXVI:Mon	
Ord Time XXVI:Sat	
Ord Time XXV:Mon	
Ord Time XXV:Sat	
Ord Time XXV:Thu	
Ord Time XXV:Tue	
Ord Time XX:Wed	
Ord Time XXX:Fri	
Ord Time XXXI:Fri	
Ord Time XXXII:Fri	
Ord Time XXXIII:Fri	
Ord Time XXXIII:Mon	
Ord Time XXXIII:Thu	
Ord Time XXXIII:Tue	
Ord Time XXXIII:Wed	
Ord Time XXXII:Sat	
Ord Time XXXII:Thu	
Ord Time XXXI:Sat	
Ord Time XXXI:Thu	
Ord Time XXXI:Tue	
Ord Time XXXIV:Fri	
Ord Time XXXIV:Mon	
Ord Time XXXIV:Sat	
Ord Time XXXIV:Thu	
Ord Time XXXIV:Tue	
Ord Time XXXIV:Wed	
Ord Time XXXI:Wed	
Ord Time XXX:Mon	
Ord Time XXX:Sat	
Ord Time XXX:Thu	
Ord Time XXX:Tue	
Ord Time XXX:Wed	
Our Lady, Mother & Queen	
Our Lady of Fátima	
Our Lady of Guadalupe	
Our Lady of Loreto	
Our Lady of Lourdes	
Our Lady of Mount Carmel	
Our Lady of Sorrows	
Our Lady of the Rosary	
Our Lady of Walsingham	
PALM SUNDAY	
Passion Friday	
PASSION SUNDAY	
PENTECOST II	
PENTECOST III	
PENTECOST IV	
PENTECOST IX	
Pentecost Octave:Fri	
Pentecost Octave:Mon	
Pentecost Octave:Sat	
Pentecost Octave:Thu	
Pentecost Octave:Tue	
PENTECOST SUNDAY	
PENTECOST SUNDAY:VIGIL	
PENTECOST V	
PENTECOST VI	
PENTECOST VII	
PENTECOST VIII	
PENTECOST X	
PENTECOST XI	
PENTECOST XII	
PENTECOST XIII	
PENTECOST XIV	
PENTECOST XIX	
PENTECOST XV	
PENTECOST XVI	
PENTECOST XVII	
PENTECOST XVIII	
PENTECOST XX	
PENTECOST XXI	
PENTECOST XXII	
PENTECOST XXIII	
PENTECOST XXIV	
PENTECOST XXV	
PENTECOST XXVI	
PENTECOST XXVII	
Presentation of our Lady	
Presentation of the Lord	
PropersID_Alt	
PropersID_Default	
PropersID_Option1	
PropersID_Option2	
PropersID_Option3	
Queenship of our Lady	
QUINQUAGESIMA	
Quinquagesima:Mon	
QUINQUAGESIMA SUNDAY	
Quinquagesima:Tue	
Requiem For a Deacon	
Requiem For a Diocesan Bishop	
Requiem For a Married Couple	
Requiem For another Bishop	
Requiem For a Pope	
Requiem For a Pope 2	
Requiem For a Pope 3	
Requiem For a Priest	
Requiem For a Priest 2	
Requiem For a Religious	
Requiem For a Young Person	
Requiem For One Deceased Person	
Requiem For One Deceased Person 2	
Requiem For One Deceased Person 3	
Requiem For One Deceased Person 4	
Requiem For One Deceased Person 5	
Requiem For One Who Died Suddenly	
Requiem For One Who Suffered a Long Illness	
Requiem For One Who Worked in the Service of the Gospel	
Requiem For Relatives, Friends and Benefactors	
Requiem For Several Deceased Persons or for All the Dead	
Requiem For Several Deceased Persons or for All the Dead 2	
Requiem For Several Deceased Persons or for All the Dead 3	
Requiem For Several Deceased Persons or for All the Dead 4	
Requiem For Several Deceased Persons or for All the Dead 5	
Requiem For Several Deceased Persons or for All the Dead 6	
Requiem For Several Deceased Persons or for All the Dead 7	
Requiem For Several Deceased Persons or for All the Dead 8	
Requiem For Several Deceased Persons or for All the Dead 9	
Requiem For the Funeral In Eastertide	
Requiem For the Funeral of a Baptized Child	
Requiem For the Funeral of a Baptized Child 2	
Requiem For the Funeral of a Child Who Died Before Baptism	
Requiem For the Funeral Outside Eastertide	
Requiem For the Funeral Outside Eastertide 2	
Requiem For the Parents of a Priest	
Requiem On the Anniversary In Eastertide	
Requiem On the Anniversary Outside Eastertide	
Requiem On the Anniversary Outside Eastertide 2	
Requiem Other Prayers for the Funeral Mass	
Requiem Other Prayers on the Anniversary	
Requiem Other Prayers on the Anniversary 2	
RESURRECTION OF THE LORD	
Ritual For Religious Profession	
Ritual For the Administering of Viaticum	
Ritual For the Blessing of an Abbot or an Abbess	
Ritual For the Celebration of Marriage	
Ritual For the Celebration of Marriage 2	
Ritual For the Celebration of Marriage 3	
Ritual For the Conferral of Baptism	
Ritual For the Conferral of Baptism 2	
Ritual For the Conferral of Confirmation	
Ritual For the Conferral of Confirmation 2	
Ritual For the Conferral of Confirmation 3	
Ritual For the Conferral of Holy Orders	
Ritual For the Conferral of the Anointing of the Sick	
Ritual For The Consecration of Virgins	
Ritual For the Dedication of a Church and an Altar	
Ritual For the Election or Enrollment of Names	
Ritual For the First Scrutiny	
Ritual For the Institution of Lectors and Acolytes	
Ritual For the Second Scrutiny	
Ritual For the Third Scrutiny	
Rogation Days:Mon	
Rogation Days:Tue	
Rogation Days:Wed	
Sanctæ Familiæ Jesu Mariæ Joseph	
Sanctissimi Nominis Jesu	
Saturday after Ash Wednesday	
Saturday memorial of our Lady	
SEPTUAGESIMA	
Septuagesima:Fri	
Septuagesima:Mon	
Septuagesima:Sat	
SEPTUAGESIMA SUNDAY	
Septuagesima:Thu	
Septuagesima:Tue	
Septuagesima:Wed	
Seven Holy Founders of the Servite Order	
SEXAGESIMA	
Sexagesima:Fri	
Sexagesima:Mon	
SEXAGESIMA SUNDAY	
Sexagesima:Thu	
Sexagesima:Tue	
Sexagesima:Wed	
Ss Andrew Dũng-Lạc & Companions, Martyrs	
Ss Andrew Kim Taegon, Priest, & Paul Chong Hasang, & Companions, Martyrs	
Ss Augustine Zhao Rong & Companions, Martyrs	
Ss Basil the Great & Gregory Nazianzen, Bishops, Doctors	
Ss Chad & Cedd, Bishops, Missionaries	
Ss Charles Lwanga & Companions, Martyrs	
Ss Christopher Magallanes, Priest, & Companions, Martyrs	
Ss Cornelius, Pope, & Cyprian, Bishop, Martyrs	
Ss Cosmas & Damian, Martyrs	
Ss Cyril, Monk, & Methodius, Bishop, Europe Co-Patrons	
Ss Denis, France Co-Patron, Bishop, & Companions, Martyrs	
Ss Joachim & Anne, Parents of our Lady	
Ss John de Brébeuf & Isaac Jogues, Priests, & Companions, Martyrs	
Ss John Fisher, Bishop, & Thomas More, Martyrs	
Ss Laurence Ruiz & Companions, Martyrs	
Ss Marcellinus & Peter, Martyrs	
Ss Margaret Clitherow, Anne Line, & Margaret Ward, Martyrs	
Ss Martha, Mary & Lazarus	
Ss Michael, Gabriel & Raphael, Archangels	
Ss Nereus & Achilleus, Martyrs	
Ss Paul Miki & Companions, Martyrs	
Ss Perpetua & Felicity, Martyrs	
SS PETER & PAUL, APOSTLES	
SS PETER & PAUL, APOSTLES:VIGIL	
Ss Petrus et Paulus	
Ss Philip & James the Less, Apostles	
Ss Pontian, Pope, & Hippolytus, Priest, Martyrs	
Ss Simon & Jude, Apostles	
Ss Sixtus II, Pope, & Companions, Martyrs	
Ss Timothy & Titus, Bishops	
St Adalbert of Prague, Bishop, Martyr	
St Aelred of Rievaulx, Abbot	
St Agatha, Virgin, Martyr	
St Agnes, Virgin, Martyr	
St Aidan of Lindisfarne, Bishop, Missionary	
St Alban, Britain Proto-Martyr	
St Albert the Great, Bishop, Doctor	
St Aldhelm, Bishop	
St Aloysius Gonzaga, Religious	
St Alphege, Archbishop of Canterbury, Martyr	
St Alphonsus Liguori, Bishop, Doctor	
St Ambrose, Bishop, Doctor	
St André Bessette, Religious	
St Andrew, Scotland Patron, Apostle	
St Angela Merici, Virgin	
St Anselm of Canterbury, Bishop, Doctor	
St Ansgar, Bishop	
St Anthony Mary Claret, Bishop	
St Anthony Mary Zaccaria, Priest	
St Anthony of Padua, Priest, Doctor	
St Anthony the Great, Abbot	
St Apollinaris, Bishop, Martyr	
St Asaph of Wales, Bishop	
St Athanasius, Bishop, Doctor	
St Augustine of Canterbury, Bishop	
St Augustine of Hippo, Bishop, Doctor	
St Augustine Zhao Rong & Companions, Martyrs	
St Barnabas, Apostle	
St Bartholomew, Apostle	
St Bede the Venerable, Priest, Doctor	
St Benedict of Nursia, Europe Patron, Founder, Abbot	
St Benet Biscop, Abbot	
St Bernardine of Siena, Priest	
St Bernard of Clairvaux, Abbot, Doctor	
St Beuno of Wales, Abbot	
St Blaise, Bishop, Martyr	
St Bonaventure, Bishop, Doctor	
St Boniface, Bishop, Martyr	
St Bridget of Sweden, Europe Co-Patron	
St Brigid of Kildare, Ireland Co-Patron, Virgin	
St Bruno, Priest	
St Cajetan, Priest	
St Callistus, Pope, Martyr	
St Camillus of Lellis, Priest	
St Casimir, Confessor	
St Catherine of Alexandria, Virgin, Martyr	
St Catherine of Siena, Europe Co-Patron, Virgin, Doctor	
St Cecilia, Virgin, Martyr	
St Charbel Makhlouf, Priest	
St Charles Borromeo, Bishop	
St Clare, Virgin	
St Clement I, Pope, Martyr	
St Columbanus, Abbot, Missionary	
St Columba of Iona, Abbot	
St Cuthbert, Bishop	
St Cyril of Alexandria, Bishop, Doctor	
St Cyril of Jerusalem, Bishop, Doctor	
St Damasus I, Pope	
St Damien de Veuster, Priest	
St David Lewis, Martyr	
St David, Wales Patron, Bishop	
St Dominic, Natural Science Patron, Founder, Priest	
St Dunstan, Archbishop of Canterbury	
St Edith of Kemsing	
St Edith of Wilton, Virgin	
St Edmund Campion, Martyr	
St Edmund, King & Martyr	
St Edmund of Abingdon, Bishop	
St Edward the Confessor, King	
St Elizabeth Ann Seton, Religious	
St Elizabeth of Hungary, Religious	
St Elizabeth of Portugal, Queen, Widow	
St Ephrem of Edessa, Deacon, Doctor	
St Ethelburga, Abbess	
St Etheldreda, Abbess	
St Eusebius of Vercelli, Bishop	
St Fabian, Pope, Martyr	
St Faustina Kowalska, Religious	
St Fidelis of Sigmaringen, Priest, Martyr	
St Frances of Rome, Religious	
St Frances Xavier Cabrini, Virgin	
St Francis de Sales, Bishop, Doctor	
St Francis of Assisi, Ecology Patron, Founder, Confessor	
St Francis of Paola, Hermit	
St Francis Xavier, Priest	
St Frideswide, Abbess	
St Gabriel of Our Lady of Sorrows	
St George, England Patron, Martyr	
St Germanus of Auxerre, Bishop	
St Gertrude, Virgin	
St Gilbert of Sempringham, Abbot	
St Godric of Finchale, Religious	
St Gregory of Narek, Abbot & Doctor	
St Gregory the Great, Pope, Doctor	
St Gregory VII, Pope	
St Hedwig, Religious	
St Helena	
St Henry of Bavaria, Holy Roman Emperor	
St Hilary of Poitiers, Bishop, Doctor	
St Hilda of Whitby, Abbess	
St Hildegard of Bingen, Virgin, Doctor	
St Hugh of Lincoln, Bishop	
St Ignatius of Antioch, Bishop, Martyr	
St Ignatius of Loyola, Founder, Priest	
St Illtud of Wales, Abbot	
St Irenaeus of Lyons, Bishop, Doctor, Martyr	
St Isidore of Seville, Bishop, Doctor	
St Isidore the Labourer, Confessor	
St James the Great, Spain Patron, Apostle	
St Jane Frances de Chantal, Religious	
St Januarius, Bishop, Martyr	
St Jerome Emiliani, Orphans Patron, Founder	
St Jerome, Priest, Doctor	
St Joachim & Saint Anne, Parents of our Lady	
St John, Apostle, Evangelist	
St John Baptist de La Salle, Catholic Education Co-Patron, Priest, Religious, Founder, Confessor	
St John Before the Latin Gate	
St John Bosco, Youth Patron, Priest	
St John Chrysostom, Bishop, Doctor	
St John Damascene, Priest, Doctor	
St John Eudes, Priest	
St John Henry Newman, Catholic Education Co-Patron, Priest, Doctor	
St John I, Pope, Martyr	
St John Jones of Wales, Priest, Martyr	
St John Leonardi, Priest	
St John Mary Vianney, Priest	
St John Neumann, Bishop	
St John of Ávila, Priest, Doctor	
St John of Capistrano, Priest	
St John of God, Religious	
St John of Kanty, Priest	
