copshc	Coptic Sahidic NT	Bogus
cotNT	New Testament in Caquinte (PE:cot:Caquinte)	Bogus
cpaNT	Palantla Chinantec NT	Bogus
cpbNT	Ucayali-yurúa Ashéninka NT	Bogus
cpcNT	Ajyíninka Apurucayali NT	Bogus
cpuNT	Pichis Ashéninka NT	Bogus
cpy	South Ucayali Ashéninka Bible	Bogus
crnNT	El Nayar Presidio De Los Reyes Cora NT	Bogus
crxNTpo	Carrier NT	Bogus
csoNT	Sochiapam Chinantec NT	Bogus
csy	Siyin Chin NT	Bogus
ctaNT	Tataltepec Chatino NT	Bogus
cth	Thai Phum Bible	Bogus
ctpNT	Western Highland Chatino NT	Bogus
ctu76	Chol NT	Bogus
ctuBl	Chol Tumbala Bible	Bogus
ctucti	Chol de Tila Bible	NoTabEndingColumn
cubNT	Cubeo NT	Bogus
cucNT	Usila Chinantec NT	Bogus
cug	Chung NT	Bogus
cui	Cuiba NT	Bogus
cuk	San Blas Kuna Bible	Bogus
cuk09	San Blas Kuna NT 2009	Bogus
cutNT	Teutila NT	Bogus
cuxNT	Tepeuxila Cuicatec NT	Bogus
cwe	Kwere NT	Bogus
cya	Nopala Chatino NT	Bogus
daaNT	Dangaléat NT	Bogus
dad	Marik NT	Bogus
dah	Gwahatike NT	Bogus
dan1931	Danish Bible 1931	Bogus
dao	Daai Chin NT	Bogus
ded	Dedua NT with Psalms	Bogus
deu1912	German Luther Bible 1912	Bogus
deu1951	German Schlachter Bible 1951	Bogus
deuelbbk	German ELBBK Bible	Bogus
deuelo	German Unrevised Elberfelder Bible	Bogus
deutkw	German Textbibel	Bogus
dgc	Casiguran Dumagat Agta NT	Bogus
dgrDOGNT	Dogrib Bible	Bogus
dgz	Daga Bible	Bogus
dhg	Djangu Bible Portions	Bogus
dhgdol	Warramiri Ḏolttji Selections	Bogus
dhgduwadha	Dhuwa-Dhaŋu'mi Mark  with  Selections	Bogus
dhn	Dhanki: परमेश्वरन सत्य वचन The New Testament in the Dhanki language of India, Devanagari script	Bogus
dif	Dieri NT	Bogus
dikNT	Southwestern Dinka NT	Bogus
dji	Djinang Bible Portions	Bogus
djj	Ndjébbana Bible Portions	Bogus
djkNT	Eastern Maroon Creole NT	Bogus
djr	Djambarrpuyngu NT	Bogus
dne	Ndendeule NT	NoTabEndingColumn
dnv	Danu NT	Bogus
dob	Dobu NT	Bogus
dop	Lokpa Bible	Bogus
dov	Dombe NT	Bogus
dso	Desiya NT	Bogus
dwrENT	Dawro Bible (Ethoipic script)	Bogus
dwrNT	Dawro NT (Latin script)	Bogus
dwrl	The Holy Bible in the Dawuro language of Ethiopia, Latin script	Bogus
dwu	Dhuwal Selections	Bogus
dwuliv	Liyagawumirr Luke	Bogus
dww	Dawawa NT	Bogus
dwy	Dhuwaya Mark  with  Acts 1:8-11	Bogus
ebk	Eastern Bontok NT	Bogus
eka	Ekajuk Bible	Bogus
ekk	Estonian Contemporary NT	Bogus
ekkpkp	Estonian Bible: Piibel Kõigile	Bogus
eko	Kote Bible	Bogus
emi	Mussau-Emira Bible	Bogus
empNTpo	Northern Emberá NT	Bogus
ena	Apali NT	Bogus
eng-Brenton	Brenton English Septuagint	Bogus
eng-asv	American Standard Version (1901)	Bogus
eng-glw	God's Living Word	Bogus
eng-kjv	King James Version  with  Apocrypha	Bogus
eng-kjv2006	King James Version	Bogus
eng-lxx2012	LXX2012 U. S. English	Bogus
eng-rv	Revised Version	Bogus
eng-t4t	Translation for Translators	Bogus
eng-uk-lxx2012	British English Septuagint 2012	Bogus
eng-web	World English Bible Classic	Bogus
eng-web-c	World English Bible (Catholic)	Bogus
eng-webbe	World English Bible British Edition with Deuterocanon	Bogus
engBBE	Bible in Basic English	Bogus
engDBY	Darby Translation	Bogus
engDRA	Douay-Rheims 1899	NoTabEndingColumn
engPEV	Plain English Version	Bogus
engULB	Unlocked Literal Bible	Bogus
engWycliffe	Wycliffe Bible portions	Bogus
engaoi	Anindilyakwa English Bible	Bogus
engasvbt	ASV Byzantine Text	Bogus
engbarkly	Barkly Bible Portions	Bogus
engbsb	English Berean Standard Bible	Bogus
engemtv	English Majority Text Version	Bogus
engf35	Family 35 NT	Bogus
engfbv	Free Bible Version	Bogus
enggnv	Geneva Bible 1599	Bogus
engjps	JPS TaNaKH 1917	Bogus
engkjvcpb	KJV Cambridge Paragraph	Bogus
englee	Leeser Tanakh	Bogus
englsv	English LSV	Bogus
englxxup	Updated Brenton English Septuagint	Bogus
engmsb	Majority Standard BIble	Bogus
engnet	NET Bible	Bogus
engnna	Nyangumarta English Bible	Bogus
engnoy	Noyes Bible	Bogus
engoebcw	Open English Bible (Commonwealth)	Bogus
engoebus	Open English Bible (US)	Bogus
engojb	The Orthodox Jewish Bible -  Tanakh and Orthodox Jewish Brit Chadasha - The Holy Bible	Bogus
engoke	Targum Onkelos Etheridge	Bogus
engourb	One Unity Resource Bible	Bogus
engtcent	Text-Critical English NT	Bogus
engtnt	Tyndale NT	Bogus
engwebp	World English Bible	Bogus
engwebpb	World English Bible British Edition	Bogus
engwebster	Webster Bible	Bogus
engwebu	World English Bible Updated	Bogus
engwmb	World Messianic Bible	Bogus
engwmbb	World Messianic Bible British Edition	Bogus
engwyc2017	English: Wycliffe's Bible Modern Spelling (with Deuterocanon)	Bogus
engwyc2018	English: Wycliffe's Bible Modern Spelling (Enhanced) (with Deuterocanon)	NoTabEndingColumn
engylt	Young's Literal Translation	Bogus
enq2	Enga NT	Bogus
epo	Esperanto Bible	Bogus
eri	Ogea NT	Bogus
eseNT	Ese Ejja NT	Bogus
eskNT	Northwest Alaska Eskimo NT	Bogus
etr	Edolo Bible	Bogus
ewe	Éwé Bible	Bogus
faa	Fasu NT	Bogus
fad	Wagi Luke	Bogus
